epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.058,0.401,0.0001,0.0239,6.4061,6.3724,0.2316,0.2372,0.0,0.78
1,20,590,0.057,0.229,0.0001,0.012,6.4086,6.3632,0.1419,0.2127,0.0,0.7
1,30,590,0.058,0.172,0.0001,0.008,6.1926,6.3347,0.2143,0.1949,3.12,0.78
1,40,590,0.059,0.144,0.0001,0.0061,6.0812,6.3112,0.1066,0.1842,1.56,1.02
1,50,590,0.061,0.128,0.0001,0.0049,6.1839,6.2917,0.1914,0.1734,3.12,1.12
1,60,590,0.061,0.116,0.0002,0.0041,5.9925,6.2649,0.0736,0.1642,3.12,1.35
1,70,590,0.062,0.108,0.0001,0.0035,5.9571,6.235,0.2178,0.1616,3.12,1.43
1,80,590,0.06,0.102,0.0001,0.0031,5.9608,6.1966,0.1284,0.1645,1.56,1.52
1,90,590,0.062,0.098,0.0001,0.0028,5.7863,6.1579,0.0724,0.1631,3.12,1.74
1,100,590,0.057,0.094,0.0001,0.0025,5.6997,6.1213,0.2943,0.1701,0.0,1.84
1,110,590,0.061,0.091,0.0001,0.0023,5.4778,6.0774,0.0357,0.166,9.38,2.17
1,120,590,0.058,0.088,0.0001,0.0021,5.4111,6.0372,0.1896,0.1701,4.69,2.49
1,130,590,0.058,0.086,0.0001,0.0019,5.3512,5.9905,0.0795,0.1686,6.25,2.68
1,140,590,0.058,0.084,0.0001,0.0018,5.6267,5.9515,0.2997,0.1703,3.12,2.76
1,150,590,0.058,0.082,0.0001,0.0017,5.1882,5.9124,0.0789,0.1704,14.06,2.99
1,160,590,0.06,0.081,0.0001,0.0016,5.229,5.8661,0.0766,0.1687,1.56,3.15
1,170,590,0.058,0.08,0.0001,0.0015,4.9711,5.8173,0.3109,0.1705,12.5,3.48
1,180,590,0.061,0.078,0.0002,0.0014,5.0004,5.7746,0.2351,0.1714,3.12,3.76
1,190,590,0.061,0.077,0.0001,0.0014,4.6961,5.7324,0.3357,0.1719,10.94,3.96
1,200,590,0.058,0.077,0.0001,0.0013,4.5197,5.686,0.3337,0.1713,12.5,4.13
1,210,590,0.056,0.076,0.0001,0.0012,4.7874,5.6475,0.1652,0.1722,7.81,4.39
1,220,590,0.058,0.075,0.0001,0.0012,4.5436,5.6094,0.2747,0.1724,12.5,4.49
1,230,590,0.058,0.074,0.0001,0.0011,4.6101,5.5695,0.1158,0.1734,15.62,4.76
1,240,590,0.061,0.074,0.0001,0.0011,4.5025,5.5289,0.1264,0.1754,15.62,5.1
1,250,590,0.059,0.073,0.0002,0.0011,4.5559,5.4896,0.0212,0.1768,12.5,5.39
1,260,590,0.06,0.073,0.0002,0.001,4.5201,5.4545,0.1511,0.1774,10.94,5.59
1,270,590,0.058,0.072,0.0001,0.001,4.438,5.4198,0.2378,0.1778,20.31,5.84
1,280,590,0.058,0.072,0.0001,0.001,4.4196,5.3814,0.0299,0.1772,12.5,6.08
1,290,590,0.059,0.071,0.0001,0.0009,4.4408,5.3443,0.149,0.1783,17.19,6.31
1,300,590,0.061,0.071,0.0001,0.0009,4.3442,5.3096,0.0476,0.1768,12.5,6.54
1,310,590,0.07,0.071,0.0001,0.0009,3.9757,5.2745,0.1673,0.1771,18.75,6.83
1,320,590,0.058,0.07,0.0001,0.0009,4.1648,5.2398,0.1284,0.1769,14.06,7.02
1,330,590,0.06,0.07,0.0001,0.0008,4.2366,5.2093,0.0653,0.1778,9.38,7.22
1,340,590,0.066,0.07,0.0001,0.0008,4.1575,5.1777,0.3402,0.1779,6.25,7.5
1,350,590,0.06,0.07,0.0002,0.0008,4.0427,5.1441,0.1563,0.1772,15.62,7.77
1,360,590,0.059,0.069,0.0001,0.0008,4.0886,5.1148,0.077,0.1784,12.5,7.94
1,370,590,0.062,0.069,0.0002,0.0008,4.0973,5.0842,0.0855,0.1779,17.19,8.19
1,380,590,0.058,0.069,0.0001,0.0007,3.5651,5.0525,0.3121,0.177,23.44,8.47
1,390,590,0.061,0.069,0.0001,0.0007,4.3099,5.0233,0.1567,0.1771,9.38,8.76
1,400,590,0.063,0.068,0.0001,0.0007,3.75,4.9914,0.2974,0.1763,26.56,9.09
1,410,590,0.059,0.068,0.0001,0.0007,3.617,4.9598,0.1316,0.1754,25.0,9.39
1,420,590,0.058,0.068,0.0001,0.0007,3.8783,4.9298,0.2648,0.1758,25.0,9.64
1,430,590,0.06,0.068,0.0001,0.0007,3.6934,4.9002,0.4738,0.1755,18.75,9.91
1,440,590,0.059,0.068,0.0001,0.0007,3.6565,4.876,0.3108,0.1753,28.12,10.14
1,450,590,0.059,0.067,0.0001,0.0006,3.5614,4.849,0.2011,0.1749,20.31,10.36
1,460,590,0.059,0.067,0.0001,0.0006,3.4791,4.8227,0.1676,0.1744,25.0,10.56
1,470,590,0.058,0.067,0.0001,0.0006,3.803,4.7964,0.2299,0.1748,25.0,10.85
1,480,590,0.058,0.067,0.0001,0.0006,3.2201,4.7706,0.18,0.1743,31.25,11.09
1,490,590,0.058,0.067,0.0001,0.0006,3.6442,4.7449,0.0159,0.1735,17.19,11.37
1,500,590,0.059,0.067,0.0001,0.0006,3.5292,4.7192,0.1301,0.1733,21.88,11.68
1,510,590,0.06,0.066,0.0001,0.0006,3.4728,4.6958,0.1261,0.1729,31.25,11.93
1,520,590,0.056,0.066,0.0002,0.0006,3.272,4.6706,0.0746,0.1717,17.19,12.2
1,530,590,0.06,0.066,0.0001,0.0006,3.4661,4.6455,0.0415,0.1708,18.75,12.45
1,540,590,0.059,0.066,0.0001,0.0005,3.2981,4.6203,0.2127,0.1707,29.69,12.75
1,550,590,0.059,0.066,0.0001,0.0005,3.1376,4.5948,0.0992,0.1692,31.25,13.04
1,560,590,0.058,0.066,0.0001,0.0005,3.0252,4.5705,0.0953,0.1682,32.81,13.29
1,570,590,0.059,0.066,0.0001,0.0005,3.2896,4.5478,0.094,0.1675,21.88,13.52
1,580,590,0.06,0.066,0.0001,0.0005,3.2335,4.5241,0.0291,0.1665,31.25,13.79
1,590,590,0.055,0.065,0.0001,0.0005,3.1755,4.4988,0.3889,0.166,21.88,14.1
2,10,590,0.057,0.083,0.0001,0.0238,2.9328,2.93,0.0256,0.137,32.81,35.31
2,20,590,0.056,0.07,0.0001,0.0119,3.0159,2.9849,0.2462,0.1545,29.69,33.44
2,30,590,0.058,0.066,0.0001,0.008,2.7044,2.9871,0.0662,0.1435,37.5,33.28
2,40,590,0.058,0.064,0.0001,0.006,2.9806,2.9634,0.1726,0.1347,26.56,33.16
2,50,590,0.058,0.063,0.0003,0.0048,2.7139,2.9642,0.0085,0.1335,45.31,33.38
2,60,590,0.057,0.062,0.0001,0.004,2.9008,2.9456,0.042,0.12,39.06,34.04
2,70,590,0.056,0.061,0.0001,0.0035,2.6973,2.9092,0.144,0.1168,40.62,34.82
2,80,590,0.057,0.061,0.0001,0.0031,2.9038,2.8952,0.2525,0.116,35.94,35.31
2,90,590,0.058,0.06,0.0001,0.0027,2.7741,2.8847,0.1742,0.1168,39.06,35.42
2,100,590,0.059,0.06,0.0001,0.0025,2.5935,2.864,0.19,0.1165,43.75,35.89
2,110,590,0.061,0.06,0.0001,0.0022,2.4522,2.8477,0.0706,0.1169,37.5,36.21
2,120,590,0.056,0.06,0.0001,0.0021,2.7383,2.834,0.0,0.1175,39.06,36.63
2,130,590,0.059,0.06,0.0001,0.0019,2.7357,2.8185,0.0,0.1191,42.19,36.77
2,140,590,0.057,0.06,0.0001,0.0018,2.3687,2.8048,0.0652,0.1182,39.06,36.86
2,150,590,0.059,0.06,0.0001,0.0017,2.3819,2.7831,0.0968,0.1164,46.88,37.25
2,160,590,0.059,0.06,0.0001,0.0016,2.3231,2.7652,0.0528,0.1192,53.12,37.71
2,170,590,0.069,0.06,0.0001,0.0015,2.4605,2.7511,0.0,0.117,37.5,37.84
2,180,590,0.06,0.06,0.0001,0.0014,2.4966,2.7354,0.0828,0.1168,43.75,38.13
2,190,590,0.059,0.059,0.0001,0.0013,2.2876,2.7148,0.118,0.1157,40.62,38.58
2,200,590,0.059,0.059,0.0001,0.0013,2.4321,2.6997,0.041,0.1147,40.62,38.79
2,210,590,0.059,0.059,0.0001,0.0012,2.7005,2.6832,0.2054,0.1161,31.25,39.11
2,220,590,0.058,0.059,0.0001,0.0012,2.2788,2.6674,0.0501,0.1153,54.69,39.47
2,230,590,0.059,0.059,0.0001,0.0011,2.2267,2.6533,0.0369,0.1149,53.12,39.73
2,240,590,0.056,0.059,0.0001,0.0011,2.0906,2.6407,0.0283,0.1152,51.56,39.92
2,250,590,0.059,0.059,0.0001,0.001,2.0246,2.6268,0.1734,0.1148,59.38,40.22
2,260,590,0.059,0.059,0.0001,0.001,2.3479,2.6117,0.0434,0.1137,39.06,40.49
2,270,590,0.059,0.059,0.0001,0.001,2.0926,2.5978,0.1606,0.1132,51.56,40.75
2,280,590,0.059,0.059,0.0001,0.0009,2.5894,2.5838,0.2047,0.1135,34.38,41.06
2,290,590,0.058,0.059,0.0001,0.0009,2.3599,2.5695,0.1288,0.1129,42.19,41.39
2,300,590,0.059,0.059,0.0001,0.0009,2.1893,2.5557,0.081,0.1117,53.12,41.69
2,310,590,0.068,0.059,0.0001,0.0009,2.1416,2.5408,0.1059,0.112,46.88,41.98
2,320,590,0.058,0.059,0.0001,0.0008,2.2199,2.5269,0.0738,0.1123,45.31,42.24
2,330,590,0.06,0.059,0.0001,0.0008,2.0412,2.5145,0.0751,0.1112,54.69,42.55
2,340,590,0.057,0.059,0.0001,0.0008,2.0479,2.5014,0.2646,0.1136,50.0,42.81
2,350,590,0.059,0.059,0.0001,0.0008,2.0925,2.4886,0.0921,0.1138,51.56,43.13
2,360,590,0.061,0.059,0.0001,0.0008,1.9626,2.4746,0.0768,0.1141,57.81,43.5
2,370,590,0.061,0.059,0.0002,0.0007,1.8211,2.4629,0.0798,0.1144,59.38,43.72
2,380,590,0.062,0.059,0.0002,0.0007,1.6562,2.4466,0.0446,0.113,60.94,44.06
2,390,590,0.061,0.059,0.0001,0.0007,1.5955,2.4343,0.0,0.1127,67.19,44.26
2,400,590,0.059,0.059,0.0001,0.0007,2.1932,2.4187,0.0168,0.1115,46.88,44.62
2,410,590,0.058,0.059,0.0002,0.0007,1.7107,2.4042,0.0175,0.1103,60.94,44.92
2,420,590,0.06,0.059,0.0001,0.0007,1.7832,2.3908,0.036,0.1102,59.38,45.23
2,430,590,0.061,0.059,0.0002,0.0006,1.5873,2.3773,0.022,0.1096,68.75,45.5
2,440,590,0.058,0.059,0.0001,0.0006,1.7926,2.3641,0.0398,0.1102,54.69,45.77
