epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.057,0.384,0.0001,0.0218,6.378,6.3639,0.2102,0.208,0.0,0.47
1,20,590,0.054,0.219,0.0001,0.0109,6.3659,6.3489,0.1472,0.1791,0.0,0.78
1,30,590,0.056,0.165,0.0001,0.0073,6.138,6.3117,0.197,0.1712,3.12,0.99
1,40,590,0.055,0.137,0.0002,0.0055,6.06,6.2832,0.1339,0.1646,1.56,1.17
1,50,590,0.055,0.121,0.0002,0.0044,6.1407,6.2617,0.1719,0.1572,6.25,1.41
1,60,590,0.055,0.11,0.0001,0.0037,5.828,6.2236,0.0656,0.1484,3.12,1.64
1,70,590,0.057,0.102,0.0002,0.0032,5.7801,6.1794,0.1368,0.1506,3.12,1.74
1,80,590,0.055,0.096,0.0002,0.0028,5.7955,6.1293,0.1333,0.1561,3.12,1.89
1,90,590,0.055,0.092,0.0002,0.0025,5.5521,6.0784,0.0405,0.1555,4.69,2.12
1,100,590,0.055,0.088,0.0001,0.0023,5.5185,6.0314,0.4041,0.1602,4.69,2.41
1,110,590,0.055,0.085,0.0001,0.0021,5.2579,5.9771,0.0799,0.1568,9.38,2.74
1,120,590,0.058,0.082,0.0001,0.0019,5.1928,5.9278,0.1773,0.1603,9.38,3.07
1,130,590,0.055,0.08,0.0001,0.0018,5.1634,5.8709,0.1091,0.1585,7.81,3.39
1,140,590,0.055,0.079,0.0002,0.0017,5.3908,5.8232,0.2199,0.1603,6.25,3.56
1,150,590,0.054,0.077,0.0001,0.0016,5.0009,5.7773,0.0909,0.1583,12.5,3.89
1,160,590,0.055,0.076,0.0001,0.0015,4.9892,5.7232,0.1073,0.157,7.81,4.24
1,170,590,0.057,0.074,0.0001,0.0014,4.723,5.6696,0.1078,0.1582,14.06,4.64
1,180,590,0.057,0.073,0.0002,0.0013,4.7293,5.6205,0.222,0.1587,7.81,5.01
1,190,590,0.054,0.072,0.0001,0.0013,4.4497,5.5739,0.3551,0.1591,12.5,5.3
1,200,590,0.055,0.071,0.0001,0.0012,4.2435,5.5228,0.1448,0.1567,18.75,5.58
1,210,590,0.054,0.071,0.0001,0.0011,4.5052,5.4793,0.2268,0.1569,10.94,5.87
1,220,590,0.057,0.07,0.0002,0.0011,4.3365,5.437,0.2022,0.1568,15.62,6.03
1,230,590,0.054,0.069,0.0002,0.0011,4.3622,5.3928,0.113,0.1585,15.62,6.42
1,240,590,0.055,0.069,0.0001,0.001,4.2068,5.3473,0.3163,0.1589,20.31,6.87
1,250,590,0.054,0.068,0.0001,0.001,4.2494,5.3036,0.0,0.1589,17.19,7.23
1,260,590,0.055,0.068,0.0001,0.001,4.2635,5.2652,0.0842,0.1591,15.62,7.52
1,270,590,0.055,0.067,0.0001,0.0009,4.0639,5.2249,0.2412,0.1576,21.88,7.85
1,280,590,0.055,0.067,0.0001,0.0009,4.116,5.1825,0.0304,0.156,15.62,8.24
1,290,590,0.058,0.066,0.0001,0.0009,4.0443,5.1416,0.0737,0.1576,23.44,8.59
1,300,590,0.055,0.066,0.0002,0.0008,4.0648,5.1033,0.0625,0.1565,15.62,8.89
1,310,590,0.054,0.066,0.0001,0.0008,3.7024,5.0655,0.1862,0.1577,18.75,9.22
1,320,590,0.055,0.066,0.0002,0.0008,3.8665,5.0275,0.1045,0.1577,20.31,9.54
1,330,590,0.055,0.065,0.0001,0.0008,3.8389,4.9928,0.1295,0.1584,21.88,9.87
1,340,590,0.054,0.065,0.0001,0.0008,3.8765,4.9588,0.1961,0.1581,25.0,10.28
1,350,590,0.057,0.065,0.0001,0.0007,3.7263,4.922,0.122,0.158,29.69,10.67
1,360,590,0.056,0.064,0.0004,0.0007,3.6506,4.8884,0.0945,0.1585,18.75,10.92
1,370,590,0.056,0.064,0.0001,0.0007,3.7178,4.8536,0.005,0.1579,23.44,11.3
1,380,590,0.055,0.064,0.0002,0.0007,3.2349,4.8179,0.2105,0.157,35.94,11.71
1,390,590,0.055,0.064,0.0001,0.0007,3.9506,4.7848,0.2063,0.1569,12.5,12.07
1,400,590,0.055,0.064,0.0001,0.0007,3.3163,4.7488,0.2047,0.1565,28.12,12.54
1,410,590,0.053,0.063,0.0,0.0006,3.2087,4.7136,0.0578,0.1553,32.81,12.99
1,420,590,0.054,0.071,0.0002,0.0085,3.411,4.679,0.1166,0.1549,39.06,13.42
1,430,590,0.055,0.071,0.0001,0.0083,3.2535,4.6452,0.3672,0.1543,25.0,13.8
1,440,590,0.056,0.07,0.0001,0.0081,3.0966,4.6156,0.3605,0.1545,39.06,14.12
1,450,590,0.055,0.07,0.0001,0.008,3.0918,4.5838,0.1601,0.1544,35.94,14.53
1,460,590,0.054,0.07,0.0001,0.0078,3.0772,4.5527,0.1887,0.1543,42.19,14.93
1,470,590,0.055,0.069,0.0001,0.0076,3.3225,4.5224,0.1241,0.1541,29.69,15.32
1,480,590,0.055,0.069,0.0001,0.0075,2.6774,4.4916,0.0405,0.1535,43.75,15.73
1,490,590,0.055,0.069,0.0001,0.0073,3.1352,4.4613,0.0271,0.1524,25.0,16.12
1,500,590,0.055,0.068,0.0001,0.0072,3.1029,4.4317,0.1353,0.1519,34.38,16.51
1,510,590,0.055,0.068,0.0001,0.007,2.8863,4.4036,0.1156,0.1507,37.5,16.87
1,520,590,0.055,0.068,0.0002,0.0069,2.8285,4.3745,0.0721,0.1491,29.69,17.18
1,530,590,0.055,0.068,0.0001,0.0068,2.8743,4.345,0.0684,0.1477,32.81,17.58
1,540,590,0.055,0.067,0.0001,0.0067,2.8255,4.3153,0.0986,0.1465,37.5,17.97
1,550,590,0.055,0.067,0.0001,0.0065,2.4892,4.285,0.1805,0.145,50.0,18.37
1,560,590,0.055,0.067,0.0001,0.0064,2.5551,4.2556,0.1309,0.1445,50.0,18.79
1,570,590,0.055,0.067,0.0001,0.0063,2.6553,4.2286,0.0437,0.1434,39.06,19.13
1,580,590,0.055,0.067,0.0001,0.0062,2.7817,4.2012,0.0,0.142,39.06,19.52
1,590,590,0.052,0.066,0.0,0.0061,2.6119,4.1719,0.1939,0.1414,48.44,19.97
2,10,590,0.055,0.075,0.0001,0.0197,2.2798,2.2803,0.0,0.0749,54.69,52.97
2,20,590,0.054,0.065,0.0001,0.0099,2.4271,2.3518,0.1658,0.1074,42.19,48.83
2,30,590,0.055,0.061,0.0001,0.0066,2.1609,2.3585,0.034,0.1021,51.56,47.81
2,40,590,0.055,0.06,0.0001,0.005,2.294,2.3363,0.1307,0.0953,54.69,48.28
2,50,590,0.055,0.059,0.0001,0.004,2.0184,2.3331,0.0,0.0925,57.81,48.12
2,60,590,0.054,0.073,0.0001,0.0183,2.252,2.316,0.0,0.0829,57.81,48.57
2,70,590,0.054,0.071,0.0001,0.0157,2.0754,2.2861,0.1637,0.0822,54.69,49.42
2,80,590,0.055,0.069,0.0001,0.0137,2.3975,2.2754,0.1515,0.0839,46.88,49.63
2,90,590,0.054,0.067,0.0001,0.0122,2.0877,2.2642,0.2575,0.0889,46.88,49.74
2,100,590,0.056,0.066,0.0001,0.011,1.9193,2.2449,0.0489,0.0863,64.06,50.03
2,110,590,0.055,0.065,0.0001,0.01,1.817,2.2251,0.0104,0.0849,46.88,50.54
2,120,590,0.058,0.064,0.0001,0.0092,2.1827,2.2079,0.0,0.0844,54.69,51.02
2,130,590,0.055,0.064,0.0001,0.0085,2.0316,2.1891,0.0,0.0859,54.69,51.45
2,140,590,0.054,0.063,0.0001,0.0079,1.842,2.18,0.0123,0.0871,62.5,51.53
2,150,590,0.055,0.062,0.0001,0.0074,1.702,2.1591,0.0608,0.0845,62.5,52.05
2,160,590,0.055,0.062,0.0003,0.0069,1.723,2.1391,0.0008,0.0849,62.5,52.57
2,170,590,0.055,0.062,0.0002,0.0065,1.7397,2.1253,0.0,0.0827,57.81,52.59
