epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.057,0.386,0.0001,0.0263,6.3848,6.3656,0.1846,0.1959,0.0,0.47
1,20,590,0.057,0.222,0.0001,0.0132,6.3761,6.3516,0.1945,0.1822,0.0,0.55
1,30,590,0.057,0.167,0.0001,0.0088,6.1416,6.3178,0.1641,0.1762,3.12,0.83
1,40,590,0.057,0.139,0.0001,0.0066,6.066,6.2998,0.1906,0.1694,3.12,1.05
1,50,590,0.059,0.123,0.0001,0.0053,6.1962,6.2826,0.1898,0.1611,3.12,1.16
1,60,590,0.056,0.112,0.0001,0.0044,5.9512,6.2528,0.0752,0.1525,1.56,1.35
1,70,590,0.058,0.104,0.0001,0.0038,5.9007,6.2191,0.1266,0.1526,4.69,1.45
1,80,590,0.057,0.098,0.0001,0.0033,5.9479,6.1797,0.1934,0.154,3.12,1.6
1,90,590,0.058,0.093,0.0001,0.003,5.6885,6.1379,0.0504,0.1541,3.12,1.84
1,100,590,0.056,0.09,0.0001,0.0027,5.6748,6.1003,0.317,0.1607,1.56,2.0
1,110,590,0.057,0.087,0.0001,0.0024,5.4326,6.0543,0.064,0.1577,10.94,2.41
1,120,590,0.057,0.084,0.0001,0.0022,5.3557,6.0123,0.1203,0.1624,6.25,2.68
1,130,590,0.056,0.082,0.0001,0.0021,5.3009,5.9626,0.093,0.1615,7.81,2.91
1,140,590,0.056,0.08,0.0001,0.0019,5.4999,5.9207,0.2836,0.1623,3.12,3.04
1,150,590,0.057,0.079,0.0001,0.0018,5.2064,5.8801,0.0753,0.1627,10.94,3.26
1,160,590,0.057,0.077,0.0001,0.0017,5.1635,5.8324,0.0872,0.1633,4.69,3.43
1,170,590,0.055,0.076,0.0001,0.0016,4.9236,5.7825,0.3717,0.1677,9.38,3.71
1,180,590,0.057,0.075,0.0001,0.0015,4.9339,5.7381,0.1416,0.1661,3.12,4.06
1,190,590,0.057,0.074,0.0001,0.0014,4.5982,5.6947,0.3885,0.1683,10.94,4.34
1,200,590,0.058,0.073,0.0001,0.0014,4.509,5.6476,0.365,0.1678,14.06,4.49
1,210,590,0.056,0.072,0.0001,0.0013,4.6815,5.6083,0.1926,0.168,9.38,4.78
1,220,590,0.057,0.072,0.0001,0.0013,4.5208,5.5687,0.2151,0.169,12.5,4.91
1,230,590,0.058,0.071,0.0001,0.0012,4.6665,5.5284,0.2305,0.1701,10.94,5.15
1,240,590,0.055,0.07,0.0002,0.0012,4.398,5.4873,0.1552,0.1722,20.31,5.47
1,250,590,0.052,0.07,0.0,0.0011,4.5049,5.4484,0.0416,0.1736,14.06,5.76
1,260,590,0.056,0.069,0.0001,0.0011,4.4849,5.4131,0.2248,0.1741,12.5,6.0
1,270,590,0.057,0.069,0.0001,0.001,4.4069,5.3775,0.2668,0.1751,15.62,6.2
1,280,590,0.058,0.068,0.0001,0.001,4.305,5.3378,0.0135,0.1743,10.94,6.47
1,290,590,0.057,0.068,0.0001,0.001,4.3042,5.2998,0.0836,0.1749,25.0,6.76
1,300,590,0.057,0.068,0.0001,0.0009,4.2421,5.2649,0.0449,0.1733,12.5,6.99
1,310,590,0.055,0.068,0.0001,0.0009,3.9075,5.2309,0.1543,0.1743,17.19,7.24
1,320,590,0.057,0.067,0.0001,0.0009,4.1568,5.1965,0.1171,0.1741,12.5,7.45
1,330,590,0.057,0.067,0.0001,0.0009,4.1017,5.1654,0.1126,0.175,14.06,7.68
1,340,590,0.057,0.067,0.0001,0.0008,4.0843,5.1337,0.2419,0.1744,15.62,7.98
1,350,590,0.057,0.066,0.0001,0.0008,4.0138,5.0999,0.2207,0.1746,10.94,8.27
1,360,590,0.057,0.066,0.0002,0.0008,3.9886,5.0703,0.0557,0.177,18.75,8.45
1,370,590,0.057,0.066,0.0001,0.0008,3.9746,5.0398,0.0987,0.1772,20.31,8.69
1,380,590,0.06,0.066,0.0001,0.0008,3.6428,5.0081,0.1488,0.1768,26.56,8.99
1,390,590,0.057,0.065,0.0002,0.0007,4.2865,4.9792,0.1331,0.1765,9.38,9.21
1,400,590,0.057,0.065,0.0001,0.0007,3.7174,4.9481,0.1846,0.1759,18.75,9.48
1,410,590,0.058,0.065,0.0001,0.0007,3.6081,4.9169,0.1053,0.1752,23.44,9.79
1,420,590,0.056,0.065,0.0001,0.0007,3.7769,4.8859,0.2699,0.1749,29.69,10.11
1,430,590,0.056,0.065,0.0002,0.0007,3.6556,4.8557,0.3541,0.1746,15.62,10.38
1,440,590,0.057,0.064,0.0001,0.0007,3.6714,4.8306,0.1367,0.1741,29.69,10.67
1,450,590,0.057,0.064,0.0001,0.0007,3.4622,4.8024,0.1087,0.1743,26.56,10.97
1,460,590,0.056,0.064,0.0001,0.0006,3.3672,4.7753,0.258,0.1748,29.69,11.25
1,470,590,0.058,0.064,0.0001,0.0006,3.7669,4.749,0.0976,0.1746,18.75,11.55
1,480,590,0.057,0.064,0.0001,0.0006,3.1788,4.7233,0.1915,0.1747,32.81,11.81
1,490,590,0.057,0.064,0.0001,0.0006,3.5953,4.6974,0.0358,0.1743,20.31,12.04
1,500,590,0.057,0.063,0.0001,0.0006,3.5526,4.6718,0.2272,0.1744,18.75,12.33
1,510,590,0.057,0.063,0.0001,0.0006,3.472,4.6483,0.3524,0.1747,26.56,12.56
1,520,590,0.055,0.063,0.0001,0.0006,3.2788,4.6227,0.0224,0.1736,20.31,12.79
1,530,590,0.057,0.063,0.0001,0.0006,3.4443,4.5983,0.039,0.1731,23.44,13.06
1,540,590,0.058,0.063,0.0001,0.0006,3.2888,4.5737,0.1585,0.1727,29.69,13.38
1,550,590,0.057,0.063,0.0001,0.0005,3.0221,4.5485,0.1991,0.1715,37.5,13.67
1,560,590,0.057,0.063,0.0001,0.0005,2.9805,4.5235,0.2039,0.1709,29.69,13.93
1,570,590,0.056,0.063,0.0001,0.0005,3.241,4.5011,0.1503,0.1707,25.0,14.17
1,580,590,0.057,0.063,0.0001,0.0005,3.281,4.4784,0.0,0.1696,29.69,14.42
1,590,590,0.052,0.062,0.0,0.0005,3.2141,4.4534,0.3753,0.1697,23.44,14.71
2,10,590,0.055,0.079,0.0001,0.0214,2.6893,2.8574,0.0165,0.0748,43.75,36.25
2,20,590,0.058,0.067,0.0001,0.0107,3.0038,2.9168,0.3248,0.1362,29.69,33.91
2,30,590,0.057,0.064,0.0001,0.0072,2.5969,2.9149,0.0704,0.14,40.62,34.27
2,40,590,0.057,0.062,0.0001,0.0054,2.8666,2.8946,0.2222,0.1369,39.06,35.04
2,50,590,0.059,0.061,0.0001,0.0043,2.6066,2.9028,0.0,0.137,42.19,35.06
2,60,590,0.056,0.06,0.0001,0.0036,2.7686,2.8893,0.0,0.1234,35.94,34.66
2,70,590,0.057,0.059,0.0001,0.0031,2.7764,2.8654,0.1704,0.1183,43.75,35.18
2,80,590,0.057,0.059,0.0001,0.0027,2.8796,2.8598,0.223,0.1202,31.25,35.02
2,90,590,0.055,0.059,0.0001,0.0024,2.6588,2.8486,0.2371,0.1247,45.31,35.36
2,100,590,0.054,0.058,0.0001,0.0022,2.436,2.8322,0.0176,0.1245,42.19,35.59
2,110,590,0.056,0.058,0.0001,0.002,2.4739,2.8168,0.1144,0.1246,28.12,35.78
2,120,590,0.055,0.058,0.0001,0.0018,2.8355,2.8029,0.0,0.1247,31.25,36.2
2,130,590,0.055,0.058,0.0001,0.0017,2.64,2.7861,0.0,0.1241,39.06,36.56
2,140,590,0.057,0.058,0.0001,0.0016,2.3564,2.7768,0.0172,0.125,45.31,36.62
2,150,590,0.057,0.058,0.0001,0.0015,2.5137,2.7593,0.0992,0.1223,39.06,36.97
2,160,590,0.056,0.058,0.0001,0.0014,2.328,2.7398,0.0801,0.1208,46.88,37.62
2,170,590,0.057,0.058,0.0001,0.0013,2.3507,2.7268,0.0,0.1182,42.19,37.78
2,180,590,0.057,0.058,0.0001,0.0013,2.3386,2.7083,0.0117,0.1167,50.0,38.12
2,190,590,0.058,0.058,0.0001,0.0012,2.345,2.689,0.0484,0.1143,43.75,38.53
2,200,590,0.057,0.057,0.0001,0.0011,2.4413,2.6742,0.1614,0.114,42.19,38.78
2,210,590,0.054,0.057,0.0001,0.0011,2.4238,2.6568,0.2649,0.1162,46.88,39.35
2,220,590,0.055,0.057,0.0001,0.001,2.2802,2.6407,0.1136,0.1176,51.56,39.67
2,230,590,0.056,0.057,0.0002,0.001,2.2024,2.6291,0.1512,0.1178,48.44,39.8
2,240,590,0.055,0.057,0.0001,0.001,2.1106,2.6188,0.053,0.1185,53.12,39.96
2,250,590,0.055,0.057,0.0001,0.0009,2.0571,2.6064,0.033,0.1183,56.25,40.21
2,260,590,0.057,0.057,0.0001,0.0009,2.3043,2.5926,0.0,0.1176,46.88,40.49
2,270,590,0.057,0.057,0.0001,0.0009,2.0413,2.5779,0.1713,0.1174,50.0,40.8
2,280,590,0.055,0.057,0.0001,0.0008,2.5148,2.5614,0.1104,0.1154,39.06,41.21
2,290,590,0.055,0.057,0.0001,0.0008,2.3658,2.5469,0.0668,0.1144,45.31,41.49
2,300,590,0.057,0.057,0.0001,0.0008,2.1368,2.5325,0.1031,0.1132,59.38,41.85
2,310,590,0.057,0.057,0.0001,0.0008,2.0369,2.5172,0.0454,0.1129,53.12,42.14
2,320,590,0.061,0.057,0.0001,0.0007,2.248,2.503,0.0539,0.1121,35.94,42.46
2,330,590,0.058,0.057,0.0001,0.0007,2.0956,2.4933,0.0585,0.1112,54.69,42.68
2,340,590,0.06,0.057,0.0001,0.0007,2.116,2.4822,0.2805,0.1119,48.44,42.87
2,350,590,0.057,0.057,0.0001,0.0007,2.22,2.4711,0.11,0.1112,51.56,43.11
2,360,590,0.057,0.057,0.0001,0.0007,1.8459,2.4575,0.0389,0.1102,57.81,43.43
2,370,590,0.056,0.057,0.0001,0.0006,1.9155,2.4465,0.3394,0.1113,56.25,43.63
2,380,590,0.057,0.057,0.0001,0.0006,1.6871,2.4311,0.0807,0.1104,57.81,43.92
2,390,590,0.057,0.057,0.0001,0.0006,1.6614,2.4183,0.0584,0.1097,62.5,44.09
2,400,590,0.056,0.057,0.0001,0.0006,2.109,2.4029,0.0327,0.1083,57.81,44.5
2,410,590,0.058,0.057,0.0001,0.0006,1.6277,2.39,0.031,0.1081,65.62,44.78
2,420,590,0.057,0.057,0.0001,0.0006,1.6933,2.3761,0.104,0.1072,57.81,45.1
2,430,590,0.057,0.057,0.0001,0.0006,1.6861,2.3643,0.0,0.1066,62.5,45.33
2,440,590,0.057,0.057,0.0001,0.0005,1.8762,2.3518,0.1392,0.1069,53.12,45.61
2,450,590,0.058,0.057,0.0001,0.0005,1.8894,2.338,0.3101,0.1065,51.56,45.89
2,460,590,0.057,0.057,0.0001,0.0005,1.8024,2.3265,0.2014,0.1069,57.81,46.13
2,470,590,0.058,0.057,0.0001,0.0005,1.8753,2.3161,0.1449,0.1059,51.56,46.33
2,480,590,0.057,0.057,0.0001,0.0005,1.6053,2.3035,0.0266,0.1055,64.06,46.63
2,490,590,0.059,0.057,0.0001,0.0005,1.8126,2.2936,0.1219,0.1054,54.69,46.81
2,500,590,0.057,0.057,0.0001,0.0005,1.7086,2.2818,0.0237,0.1044,64.06,47.09
2,510,590,0.057,0.057,0.0001,0.0005,1.6695,2.2715,0.0,0.1051,59.38,47.32
2,520,590,0.058,0.057,0.0001,0.0005,1.4399,2.26,0.0,0.1048,68.75,47.56
2,530,590,0.058,0.057,0.0001,0.0005,1.6471,2.2498,0.0246,0.1042,64.06,47.75
2,540,590,0.058,0.057,0.0001,0.0005,1.5405,2.2402,0.0359,0.1044,64.06,47.95
2,550,590,0.057,0.057,0.0001,0.0005,1.6513,2.2299,0.035,0.1037,57.81,48.15
2,560,590,0.057,0.057,0.0001,0.0004,1.3969,2.2187,0.1113,0.103,62.5,48.35
2,570,590,0.057,0.057,0.0001,0.0004,1.5959,2.2084,0.092,0.1028,60.94,48.56
2,580,590,0.057,0.057,0.0001,0.0004,1.5941,2.1974,0.2874,0.1026,59.38,48.78
2,590,590,0.052,0.057,0.0,0.0004,1.3912,2.1871,0.0809,0.1021,67.19,49.01
3,10,590,0.056,0.079,0.0001,0.0236,1.7616,1.4621,0.0814,0.1174,54.69,66.56
3,20,590,0.055,0.067,0.0001,0.0118,1.3939,1.46,0.0134,0.1224,67.19,65.94
3,30,590,0.055,0.063,0.0001,0.0079,1.4042,1.4788,0.0472,0.1207,60.94,65.52
3,40,590,0.056,0.061,0.0001,0.0059,1.3157,1.4836,0.0598,0.1076,68.75,64.92
3,50,590,0.058,0.06,0.0002,0.0048,1.4286,1.4739,0.2838,0.1172,65.62,65.09
3,60,590,0.056,0.06,0.0001,0.004,1.558,1.4692,0.0,0.1095,60.94,65.31
3,70,590,0.057,0.059,0.0002,0.0034,1.4602,1.4571,0.0,0.1047,68.75,65.54
3,80,590,0.057,0.059,0.0001,0.003,1.4236,1.4486,0.1059,0.1014,62.5,65.9
3,90,590,0.056,0.059,0.0001,0.0027,1.6383,1.4495,0.5146,0.1019,59.38,65.92
3,100,590,0.055,0.058,0.0001,0.0024,1.1798,1.4292,0.2161,0.0994,68.75,66.31
3,110,590,0.055,0.058,0.0001,0.0022,1.4118,1.4257,0.0795,0.0994,64.06,66.25
3,120,590,0.057,0.058,0.0001,0.002,1.2241,1.4179,0.0304,0.0968,68.75,66.43
3,130,590,0.055,0.058,0.0001,0.0019,1.4381,1.4089,0.0424,0.0938,62.5,66.68
3,140,590,0.058,0.058,0.0001,0.0017,1.4407,1.4033,0.0073,0.0913,65.62,66.62
3,150,590,0.057,0.058,0.0001,0.0016,1.2463,1.4003,0.1667,0.0903,75.0,66.61
3,160,590,0.057,0.058,0.0001,0.0015,1.2232,1.391,0.028,0.0876,73.44,66.76
3,170,590,0.058,0.058,0.0001,0.0014,1.2741,1.387,0.0,0.085,67.19,66.87
3,180,590,0.057,0.058,0.0001,0.0014,1.3647,1.3816,0.184,0.0842,67.19,66.99
3,190,590,0.055,0.058,0.0001,0.0013,1.3886,1.378,0.0847,0.0834,65.62,67.06
3,200,590,0.057,0.058,0.0001,0.0012,1.2665,1.3687,0.0178,0.0828,68.75,67.4
3,210,590,0.058,0.057,0.0001,0.0012,1.4137,1.3632,0.0091,0.0828,60.94,67.43
3,220,590,0.058,0.057,0.0001,0.0011,1.3885,1.3559,0.1027,0.0821,56.25,67.64
3,230,590,0.057,0.057,0.0001,0.0011,1.1526,1.3497,0.1445,0.0822,78.12,67.76
3,240,590,0.055,0.057,0.0001,0.001,1.2614,1.3459,0.0,0.0809,67.19,67.85
3,250,590,0.057,0.057,0.0001,0.001,1.2176,1.3368,0.181,0.0805,70.31,68.06
3,260,590,0.056,0.057,0.0001,0.001,1.2703,1.3293,0.132,0.0797,60.94,68.15
3,270,590,0.058,0.057,0.0001,0.0009,1.1762,1.3232,0.1165,0.08,68.75,68.26
3,280,590,0.055,0.057,0.0001,0.0009,1.2715,1.3212,0.1186,0.0802,64.06,68.24
3,290,590,0.058,0.057,0.0001,0.0009,1.1305,1.3173,0.0685,0.081,81.25,68.35
3,300,590,0.058,0.057,0.0001,0.0008,1.2241,1.3125,0.1999,0.0812,73.44,68.45
3,310,590,0.058,0.057,0.0001,0.0008,1.3809,1.3082,0.0291,0.0811,70.31,68.58
3,320,590,0.057,0.057,0.0001,0.0008,1.3052,1.3035,0.078,0.0806,65.62,68.72
3,330,590,0.057,0.057,0.0001,0.0008,1.2004,1.2978,0.0721,0.0799,64.06,68.88
3,340,590,0.057,0.057,0.0001,0.0008,1.1982,1.2945,0.0077,0.0788,68.75,68.89
3,350,590,0.057,0.057,0.0001,0.0007,0.9201,1.29,0.0396,0.0786,75.0,68.95
3,360,590,0.056,0.057,0.0001,0.0007,1.0163,1.2844,0.1081,0.0775,73.44,69.12
3,370,590,0.058,0.057,0.0001,0.0007,1.0924,1.2815,0.082,0.0771,71.88,69.14
3,380,590,0.06,0.057,0.0001,0.0007,1.0613,1.2772,0.0399,0.0774,79.69,69.25
3,390,590,0.056,0.057,0.0001,0.0007,0.9601,1.2719,0.2181,0.0768,79.69,69.4
3,400,590,0.058,0.057,0.0001,0.0007,0.9845,1.2668,0.0467,0.076,73.44,69.52
3,410,590,0.058,0.057,0.0001,0.0006,1.224,1.2638,0.0,0.0759,70.31,69.57
3,420,590,0.057,0.057,0.0001,0.0006,1.0624,1.2578,0.0153,0.0749,75.0,69.78
3,430,590,0.056,0.057,0.0001,0.0006,1.0466,1.2513,0.1148,0.0743,76.56,69.91
3,440,590,0.057,0.057,0.0001,0.0006,0.8197,1.2443,0.0789,0.074,79.69,70.08
3,450,590,0.057,0.057,0.0001,0.0006,0.9603,1.2382,0.0,0.0741,75.0,70.22
3,460,590,0.057,0.057,0.0001,0.0006,0.9548,1.2338,0.0123,0.0737,76.56,70.28
3,470,590,0.058,0.057,0.0001,0.0006,1.26,1.2285,0.0715,0.0734,68.75,70.44
3,480,590,0.055,0.057,0.0001,0.0006,1.0729,1.2244,0.0831,0.0736,71.88,70.49
3,490,590,0.057,0.057,0.0001,0.0005,0.904,1.2197,0.0257,0.0736,76.56,70.58
