epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.055,0.399,0.0001,0.0288,6.3685,6.3637,0.166,0.1836,0.0,0.62
1,20,590,0.054,0.227,0.0001,0.0144,6.3535,6.3434,0.1919,0.1696,0.0,0.78
1,30,590,0.055,0.169,0.0001,0.0097,6.1066,6.3034,0.1799,0.1656,3.12,1.04
1,40,590,0.054,0.141,0.0001,0.0073,5.9842,6.2745,0.1542,0.1603,1.56,1.33
1,50,590,0.055,0.124,0.0002,0.0058,6.0764,6.2475,0.1847,0.1566,7.81,1.5
1,60,590,0.055,0.112,0.0001,0.0049,5.8043,6.2038,0.0861,0.1487,3.12,1.8
1,70,590,0.055,0.104,0.0001,0.0042,5.7082,6.156,0.147,0.1507,4.69,1.94
1,80,590,0.055,0.098,0.0001,0.0037,5.7849,6.1029,0.1792,0.1552,3.12,2.13
1,90,590,0.055,0.093,0.0001,0.0033,5.5155,6.0497,0.0695,0.1548,4.69,2.34
1,100,590,0.055,0.089,0.0001,0.0029,5.4848,6.0008,0.3252,0.1596,3.12,2.55
1,110,590,0.054,0.086,0.0001,0.0027,5.2051,5.9454,0.01,0.1581,7.81,2.87
1,120,590,0.055,0.083,0.0001,0.0025,5.1463,5.8942,0.1368,0.1651,7.81,3.28
1,130,590,0.055,0.081,0.0002,0.0023,5.1043,5.837,0.1372,0.1639,6.25,3.59
1,140,590,0.055,0.079,0.0001,0.0021,5.2928,5.7878,0.2165,0.1645,6.25,3.83
1,150,590,0.056,0.078,0.0001,0.002,4.9492,5.7408,0.073,0.1608,10.94,4.15
1,160,590,0.055,0.076,0.0002,0.0019,4.9988,5.6863,0.2638,0.1626,4.69,4.44
1,170,590,0.055,0.075,0.0001,0.0018,4.6703,5.6324,0.1974,0.1634,10.94,4.79
1,180,590,0.055,0.074,0.0001,0.0017,4.6882,5.5837,0.1488,0.1627,6.25,5.13
1,190,590,0.054,0.073,0.0001,0.0016,4.396,5.5368,0.2473,0.163,10.94,5.43
1,200,590,0.055,0.072,0.0001,0.0015,4.232,5.4857,0.2318,0.1619,14.06,5.66
1,210,590,0.056,0.071,0.0002,0.0015,4.4979,5.4421,0.0924,0.1616,14.06,6.0
1,220,590,0.055,0.07,0.0001,0.0014,4.2585,5.4004,0.2339,0.161,17.19,6.22
1,230,590,0.054,0.07,0.0001,0.0013,4.3923,5.3564,0.2156,0.1617,15.62,6.58
1,240,590,0.055,0.069,0.0001,0.0013,4.2032,5.312,0.2484,0.1627,21.88,7.07
1,250,590,0.054,0.069,0.0001,0.0012,4.2455,5.2689,0.0,0.1627,17.19,7.35
1,260,590,0.055,0.068,0.0001,0.0012,4.2151,5.2308,0.1636,0.1617,18.75,7.63
1,270,590,0.054,0.068,0.0001,0.0012,4.0782,5.1917,0.2264,0.1616,25.0,7.96
1,280,590,0.055,0.067,0.0002,0.0011,4.1036,5.1495,0.0427,0.1604,12.5,8.34
1,290,590,0.055,0.067,0.0001,0.0011,4.017,5.1093,0.1007,0.1623,29.69,8.7
1,300,590,0.055,0.067,0.0001,0.001,4.0135,5.0713,0.0098,0.1606,15.62,9.01
1,310,590,0.055,0.066,0.0001,0.001,3.6919,5.0337,0.1764,0.1604,18.75,9.38
1,320,590,0.055,0.066,0.0001,0.001,3.7941,4.9957,0.1729,0.1605,21.88,9.72
1,330,590,0.055,0.065,0.0002,0.001,3.8657,4.962,0.0695,0.1607,25.0,10.04
1,340,590,0.055,0.065,0.0002,0.0009,3.8217,4.9277,0.3613,0.1613,15.62,10.39
1,350,590,0.055,0.065,0.0001,0.0009,3.6443,4.8907,0.1755,0.1607,25.0,10.75
1,360,590,0.055,0.065,0.0002,0.0009,3.6397,4.8576,0.1015,0.1614,21.88,11.02
1,370,590,0.055,0.064,0.0001,0.0009,3.6844,4.8232,0.0356,0.1607,26.56,11.41
1,380,590,0.057,0.064,0.0001,0.0009,3.2124,4.7883,0.298,0.1605,34.38,11.85
1,390,590,0.055,0.064,0.0001,0.0008,3.9232,4.7558,0.0986,0.1602,15.62,12.2
1,400,590,0.056,0.064,0.0002,0.0008,3.2679,4.7205,0.143,0.1597,39.06,12.65
1,410,590,0.055,0.063,0.0002,0.0008,3.2005,4.6859,0.0256,0.1587,32.81,13.09
1,420,590,0.055,0.063,0.0002,0.0008,3.4685,4.653,0.2628,0.1588,34.38,13.47
1,430,590,0.057,0.063,0.0001,0.0008,3.2336,4.6196,0.3933,0.1581,23.44,13.84
1,440,590,0.055,0.063,0.0002,0.0008,3.1307,4.5908,0.1319,0.1572,42.19,14.2
1,450,590,0.055,0.063,0.0001,0.0007,2.9813,4.5584,0.1849,0.1565,34.38,14.62
1,460,590,0.055,0.063,0.0002,0.0007,2.9344,4.5273,0.0878,0.1556,43.75,15.03
1,470,590,0.055,0.062,0.0001,0.0007,3.3543,4.4971,0.1215,0.1557,26.56,15.47
1,480,590,0.055,0.062,0.0002,0.0007,2.7697,4.4675,0.2048,0.1554,40.62,15.81
1,490,590,0.055,0.062,0.0001,0.0007,3.1574,4.438,0.0839,0.1546,25.0,16.21
1,500,590,0.055,0.062,0.0002,0.0007,3.1372,4.4089,0.2932,0.1546,32.81,16.63
1,510,590,0.055,0.062,0.0001,0.0007,2.9311,4.3816,0.0681,0.1534,34.38,16.98
1,520,590,0.055,0.062,0.0001,0.0007,2.7954,4.3534,0.0784,0.1527,37.5,17.34
1,530,590,0.054,0.062,0.0001,0.0006,2.8701,4.3249,0.0558,0.1519,32.81,17.72
1,540,590,0.055,0.061,0.0001,0.0006,2.8048,4.2958,0.1326,0.1509,37.5,18.11
1,550,590,0.055,0.061,0.0001,0.0006,2.5663,4.2669,0.1749,0.1497,51.56,18.53
1,560,590,0.055,0.061,0.0002,0.0006,2.5854,4.2381,0.1157,0.1487,39.06,18.91
1,570,590,0.055,0.061,0.0001,0.0006,2.7066,4.2119,0.06,0.1478,34.38,19.24
1,580,590,0.055,0.061,0.0001,0.0006,2.8073,4.1846,0.0,0.1466,39.06,19.67
1,590,590,0.053,0.061,0.0001,0.0006,2.7299,4.156,0.1572,0.1457,37.5,20.09
2,10,590,0.057,0.08,0.0001,0.0226,2.2988,2.3058,0.0094,0.0533,51.56,49.38
2,20,590,0.056,0.069,0.0001,0.0114,2.4536,2.3766,0.1934,0.0918,45.31,46.72
2,30,590,0.059,0.065,0.0001,0.0076,2.1223,2.3718,0.0472,0.0874,57.81,46.77
2,40,590,0.055,0.063,0.0001,0.0057,2.2755,2.3475,0.1157,0.0861,56.25,47.62
2,50,590,0.055,0.061,0.0001,0.0046,2.0197,2.3436,0.0,0.0944,64.06,47.69
2,60,590,0.055,0.066,0.0001,0.0099,2.2621,2.3322,0.0232,0.0834,53.12,47.86
2,70,590,0.057,0.087,0.0001,0.0301,2.1571,2.3049,0.2419,0.0832,53.12,48.86
2,80,590,0.057,0.083,0.0001,0.0264,2.3738,2.2961,0.0523,0.0803,48.44,49.08
2,90,590,0.056,0.08,0.0001,0.0234,2.1165,2.2835,0.1402,0.0835,51.56,49.31
2,100,590,0.058,0.078,0.0001,0.0211,1.9552,2.2618,0.0114,0.0804,62.5,49.77
2,110,590,0.055,0.076,0.0001,0.0192,1.8915,2.2419,0.03,0.0788,51.56,50.2
2,120,590,0.057,0.074,0.0001,0.0176,2.205,2.2238,0.0,0.078,46.88,50.44
2,130,590,0.057,0.073,0.0001,0.0163,2.0314,2.2036,0.0007,0.0787,57.81,50.78
2,140,590,0.058,0.072,0.0001,0.0151,1.7859,2.191,0.01,0.0795,62.5,50.85
2,150,590,0.058,0.071,0.0001,0.0141,1.67,2.1692,0.0661,0.0782,60.94,51.33
2,160,590,0.057,0.07,0.0001,0.0132,1.7475,2.1494,0.072,0.078,64.06,51.88
2,170,590,0.057,0.069,0.0001,0.0125,1.7306,2.1349,0.0,0.0758,62.5,52.15
2,180,590,0.055,0.069,0.0001,0.0118,1.8462,2.1164,0.054,0.075,53.12,52.53
2,190,590,0.058,0.068,0.0001,0.0112,1.7031,2.0956,0.0615,0.0737,56.25,53.03
2,200,590,0.057,0.068,0.0001,0.0106,1.7024,2.0786,0.1075,0.0743,59.38,53.37
2,210,590,0.057,0.067,0.0001,0.0101,1.8925,2.0618,0.1044,0.0753,57.81,53.8
2,220,590,0.062,0.067,0.0001,0.0096,1.5429,2.0462,0.0508,0.0743,76.56,54.15
2,230,590,0.054,0.066,0.0001,0.0092,1.4889,2.0318,0.0,0.073,70.31,54.46
2,240,590,0.058,0.066,0.0001,0.0088,1.4758,2.0195,0.005,0.0724,73.44,54.71
2,250,590,0.057,0.066,0.0001,0.0085,1.5441,2.0053,0.1843,0.0737,68.75,55.03
2,260,590,0.058,0.065,0.0001,0.0082,1.7416,1.9909,0.0026,0.0726,62.5,55.3
2,270,590,0.059,0.065,0.0001,0.0079,1.5669,1.9766,0.1249,0.0722,64.06,55.61
2,280,590,0.06,0.065,0.0001,0.0076,1.9619,1.9628,0.085,0.0716,53.12,55.89
2,290,590,0.057,0.065,0.0001,0.0073,1.6464,1.9474,0.0201,0.0713,64.06,56.26
2,300,590,0.057,0.064,0.0001,0.0071,1.6194,1.934,0.1288,0.0708,64.06,56.6
2,310,590,0.058,0.064,0.0001,0.0069,1.5786,1.92,0.0938,0.0712,60.94,56.92
2,320,590,0.059,0.064,0.0001,0.0067,1.6366,1.9071,0.07,0.0716,60.94,57.2
2,330,590,0.058,0.064,0.0001,0.0065,1.4657,1.8962,0.0685,0.0706,65.62,57.34
2,340,590,0.058,0.063,0.0001,0.0063,1.4536,1.8835,0.1317,0.0713,71.88,57.61
2,350,590,0.058,0.063,0.0001,0.0061,1.6525,1.8719,0.0408,0.0714,54.69,57.88
2,360,590,0.056,0.063,0.0001,0.0059,1.4792,1.8597,0.0398,0.0708,67.19,58.13
2,370,590,0.057,0.063,0.0001,0.0058,1.2136,1.8486,0.1149,0.0713,75.0,58.34
2,380,590,0.055,0.063,0.0001,0.0056,1.2412,1.8341,0.0266,0.0701,68.75,58.66
2,390,590,0.056,0.063,0.0001,0.0055,1.1439,1.8223,0.0,0.0691,71.88,58.85
2,400,590,0.058,0.063,0.0001,0.0053,1.4731,1.8068,0.0818,0.0683,71.88,59.27
2,410,590,0.058,0.062,0.0001,0.0052,1.1387,1.7947,0.0,0.0672,76.56,59.52
2,420,590,0.058,0.062,0.0001,0.0051,1.2634,1.7817,0.1355,0.067,68.75,59.84
2,430,590,0.055,0.062,0.0001,0.005,1.1516,1.7703,0.0,0.0675,73.44,60.07
2,440,590,0.055,0.062,0.0001,0.0049,1.2064,1.7586,0.107,0.0678,68.75,60.28
2,450,590,0.056,0.062,0.0001,0.0048,1.4249,1.7465,0.1574,0.0674,67.19,60.56
2,460,590,0.056,0.062,0.0001,0.0047,1.0856,1.7361,0.0486,0.0676,78.12,60.78
2,470,590,0.058,0.062,0.0002,0.0046,1.3106,1.7265,0.0718,0.0671,65.62,60.93
2,480,590,0.055,0.062,0.0001,0.0045,1.0032,1.7153,0.0,0.0665,78.12,61.19
2,490,590,0.058,0.061,0.0001,0.0044,1.2257,1.7056,0.0609,0.0664,70.31,61.39
2,500,590,0.057,0.061,0.0001,0.0043,0.9649,1.6945,0.0241,0.0656,85.94,61.67
2,510,590,0.056,0.061,0.0001,0.0042,1.1458,1.6846,0.0,0.066,70.31,61.88
2,520,590,0.055,0.061,0.0001,0.0041,0.9134,1.673,0.0079,0.0655,82.81,62.12
2,530,590,0.059,0.061,0.0001,0.004,1.0953,1.6631,0.02,0.0648,76.56,62.33
2,540,590,0.057,0.061,0.0001,0.004,1.0492,1.654,0.0372,0.0653,75.0,62.53
2,550,590,0.057,0.061,0.0001,0.0039,1.1846,1.6445,0.0,0.0647,64.06,62.72
2,560,590,0.057,0.061,0.0001,0.0038,0.9848,1.634,0.0233,0.064,78.12,62.95
2,570,590,0.059,0.061,0.0001,0.0038,1.0283,1.6239,0.0283,0.0636,76.56,63.18
2,580,590,0.056,0.061,0.0001,0.0037,0.9352,1.6135,0.1063,0.0631,84.38,63.4
2,590,590,0.053,0.061,0.0,0.0036,0.862,1.6039,0.0137,0.0627,87.5,63.59
3,10,590,0.057,0.08,0.0001,0.0227,0.9834,0.938,0.0791,0.0649,78.12,76.56
3,20,590,0.055,0.068,0.0002,0.0114,0.9136,0.9601,0.0119,0.0737,78.12,77.58
