epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.056,0.383,0.0001,0.0252,6.3762,6.3963,0.2228,0.1976,0.0,0.16
1,20,590,0.054,0.22,0.0001,0.0126,6.368,6.3833,0.2061,0.1989,0.0,0.16
1,30,590,0.055,0.165,0.0001,0.0085,6.2242,6.3598,0.219,0.2018,1.56,0.26
1,40,590,0.058,0.138,0.0001,0.0064,6.2018,6.3405,0.2633,0.2009,1.56,0.59
1,50,590,0.055,0.121,0.0001,0.0051,6.2693,6.3291,0.3125,0.1997,3.12,0.66
1,60,590,0.055,0.11,0.0001,0.0043,6.1375,6.3119,0.0598,0.1882,3.12,0.81
1,70,590,0.055,0.102,0.0001,0.0037,6.1547,6.2959,0.1789,0.1863,1.56,0.8
1,80,590,0.104,0.097,0.0485,0.0039,6.2352,6.2823,0.1732,0.1874,1.56,0.8
1,90,590,0.057,0.093,0.0001,0.0035,6.1368,6.2702,0.0325,0.1842,0.0,0.8
1,100,590,0.055,0.089,0.0001,0.0032,6.1274,6.2603,0.2938,0.1859,0.0,0.83
1,110,590,0.055,0.086,0.0001,0.0029,6.0665,6.248,0.0078,0.1807,6.25,0.97
1,120,590,0.056,0.084,0.0001,0.0026,6.077,6.238,0.137,0.1799,1.56,1.04
1,130,590,0.057,0.082,0.0001,0.0024,6.0531,6.2263,0.0455,0.1764,1.56,1.03
1,140,590,0.057,0.08,0.0001,0.0023,6.1564,6.2179,0.1602,0.1747,1.56,1.17
1,150,590,0.055,0.078,0.0002,0.0021,6.0812,6.2115,0.0961,0.171,3.12,1.27
1,160,590,0.057,0.077,0.0001,0.002,6.0613,6.1992,0.1106,0.1685,6.25,1.38
1,170,590,0.055,0.076,0.0001,0.0019,5.9856,6.1874,0.2098,0.1683,1.56,1.5
1,180,590,0.057,0.075,0.0001,0.0018,5.9566,6.177,0.1929,0.1668,1.56,1.55
1,190,590,0.057,0.074,0.0001,0.0017,5.7376,6.1645,0.1815,0.1642,4.69,1.62
1,200,590,6.192,0.103,6.1356,0.0323,5.7051,6.1499,0.2463,0.1622,6.25,1.65
1,210,590,0.055,0.101,0.0001,0.0308,5.8861,6.1394,0.2365,0.1614,0.0,1.7
1,220,590,0.057,0.099,0.0001,0.0294,5.6779,6.1277,0.2617,0.1607,7.81,1.78
1,230,590,0.055,0.097,0.0001,0.0281,5.8031,6.116,0.1753,0.1615,3.12,1.85
1,240,590,0.055,0.096,0.0001,0.0269,5.6729,6.1017,0.1459,0.1622,4.69,1.95
1,250,590,0.06,0.094,0.0001,0.0259,5.8396,6.0883,0.0116,0.1623,4.69,1.99
1,260,590,0.057,0.093,0.0001,0.0249,5.8288,6.0766,0.1546,0.1624,1.56,2.03
1,270,590,0.057,0.091,0.0001,0.0239,5.6504,6.0641,0.2237,0.163,6.25,2.1
1,280,590,0.057,0.09,0.0001,0.0231,5.7036,6.0463,0.0526,0.163,6.25,2.2
1,290,590,0.058,0.089,0.0001,0.0223,5.6314,6.0309,0.0456,0.163,12.5,2.32
1,300,590,0.058,0.088,0.0001,0.0216,5.6853,6.0173,0.0516,0.1618,7.81,2.4
1,310,590,0.055,0.087,0.0001,0.0209,5.304,6.0017,0.1741,0.1621,12.5,2.51
1,320,590,0.057,0.086,0.0001,0.0202,5.4008,5.9866,0.258,0.1622,6.25,2.55
1,330,590,0.055,0.085,0.0002,0.0196,5.5682,5.9732,0.0721,0.162,3.12,2.57
1,340,590,0.057,0.084,0.0001,0.019,5.5041,5.9594,0.3071,0.1618,4.69,2.64
1,350,590,0.058,0.084,0.0002,0.0185,5.3881,5.9432,0.0736,0.1625,3.12,2.72
1,360,590,0.055,0.083,0.0001,0.018,5.4474,5.9292,0.0972,0.1629,4.69,2.76
1,370,590,0.057,0.082,0.0002,0.0175,5.6135,5.9146,0.1147,0.1634,3.12,2.83
1,380,590,0.055,0.081,0.0001,0.017,5.0556,5.8981,0.2372,0.1631,12.5,2.93
1,390,590,0.059,0.081,0.0001,0.0166,5.5402,5.8832,0.0867,0.1633,1.56,3.03
1,400,590,0.055,0.08,0.0001,0.0162,5.3014,5.867,0.235,0.1631,3.12,3.14
1,410,590,0.055,0.08,0.0001,0.0158,5.0701,5.8504,0.2512,0.1625,6.25,3.18
1,420,590,0.057,0.079,0.0001,0.0154,5.319,5.8353,0.2192,0.1627,9.38,3.26
1,430,590,0.055,0.079,0.0001,0.0151,5.0099,5.8184,0.299,0.1625,9.38,3.36
1,440,590,0.057,0.078,0.0001,0.0147,5.0547,5.8048,0.2417,0.1624,14.06,3.45
1,450,590,0.057,0.078,0.0001,0.0144,5.2008,5.7899,0.1442,0.1619,10.94,3.53
1,460,590,0.055,0.077,0.0001,0.0141,4.8857,5.7752,0.1488,0.162,10.94,3.59
1,470,590,0.057,0.077,0.0002,0.0138,5.1469,5.7608,0.1336,0.1624,9.38,3.7
1,480,590,0.056,0.076,0.0001,0.0135,5.0183,5.7472,0.1149,0.1621,6.25,3.71
1,490,590,0.056,0.076,0.0001,0.0132,5.15,5.7329,0.0475,0.1618,4.69,3.8
1,500,590,0.057,0.075,0.0001,0.013,5.0358,5.7194,0.1815,0.1621,6.25,3.84
1,510,590,0.057,0.075,0.0001,0.0127,5.0209,5.7061,0.2119,0.1622,7.81,3.93
1,520,590,0.055,0.075,0.0001,0.0125,4.9265,5.6913,0.0492,0.162,6.25,4.0
1,530,590,0.057,0.074,0.0001,0.0122,5.0331,5.6783,0.1165,0.1614,7.81,4.07
1,540,590,0.056,0.074,0.0001,0.012,5.0771,5.6647,0.131,0.1613,7.81,4.15
1,550,590,0.057,0.074,0.0001,0.0118,4.723,5.6502,0.135,0.1608,12.5,4.24
1,560,590,0.055,0.073,0.0001,0.0116,4.6473,5.6349,0.1975,0.1603,7.81,4.32
1,570,590,0.055,0.073,0.0001,0.0114,4.9668,5.6223,0.0436,0.1601,3.12,4.4
1,580,590,0.057,0.073,0.0001,0.0112,4.8763,5.6088,0.0616,0.1595,12.5,4.52
1,590,590,0.053,0.073,0.0,0.011,4.733,5.5936,0.257,0.1596,3.12,4.62
2,10,590,0.059,0.08,0.0001,0.0223,4.7291,4.7051,0.0646,0.1222,12.5,9.53
2,20,590,0.055,0.068,0.0001,0.0112,4.5597,4.7202,0.3448,0.1664,7.81,9.14
2,30,590,0.055,0.064,0.0001,0.0075,4.5568,4.7074,0.1421,0.1533,14.06,10.36
2,40,590,0.055,0.062,0.0002,0.0056,4.7134,4.694,0.1407,0.1487,12.5,10.39
