epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,2361,0.019,0.229,0.0001,0.0087,6.3119,6.3984,0.0,0.0561,0.0,0.0
1,20,2361,0.02,0.124,0.0,0.0044,6.4816,6.3924,0.0,0.0535,0.0,0.0
1,30,2361,0.019,0.089,0.0,0.0029,6.4555,6.3655,0.0,0.0561,0.0,0.42
1,40,2361,0.019,0.071,0.0,0.0022,6.4436,6.3617,0.0,0.0427,0.0,0.47
1,50,2361,0.019,0.061,0.0001,0.0018,6.2109,6.3643,0.2719,0.0446,0.0,0.62
1,60,2361,0.019,0.054,0.0,0.0015,6.3882,6.3589,0.0,0.0418,0.0,0.52
1,70,2361,0.019,0.049,0.0,0.0013,6.4229,6.3509,0.0,0.0399,0.0,0.54
1,80,2361,0.019,0.045,0.0001,0.0011,6.4763,6.3552,0.0,0.042,0.0,0.62
1,90,2361,0.019,0.042,0.0,0.001,6.3647,6.3449,0.0,0.0441,0.0,0.62
1,100,2361,0.019,0.04,0.0,0.0009,6.3303,6.3401,0.0,0.0421,0.0,0.56
1,110,2361,0.019,0.038,0.0,0.0008,6.4514,6.3365,0.0,0.0418,0.0,0.51
1,120,2361,0.019,0.036,0.0001,0.0008,6.1771,6.3308,0.0,0.0419,0.0,0.52
1,130,2361,0.019,0.035,0.0,0.0007,6.5153,6.3278,0.0,0.0453,0.0,0.58
1,140,2361,0.019,0.034,0.0,0.0007,5.9272,6.3236,0.0,0.0432,6.25,0.71
1,150,2361,0.02,0.033,0.0001,0.0006,6.2398,6.3194,0.0,0.0415,0.0,0.75
1,160,2361,0.019,0.032,0.0,0.0006,6.1572,6.3109,0.1214,0.0407,0.0,0.78
1,170,2361,0.019,0.031,0.0001,0.0006,6.7215,6.3035,0.0,0.0411,6.25,0.81
1,180,2361,0.019,0.031,0.0,0.0005,6.1527,6.2961,0.0,0.0389,6.25,0.9
1,190,2361,0.019,0.03,0.0,0.0005,6.4356,6.296,0.0,0.0368,0.0,0.89
1,200,2361,0.019,0.029,0.0,0.0005,6.4757,6.2959,0.0,0.0365,0.0,0.91
1,210,2361,0.019,0.029,0.0001,0.0005,6.403,6.2907,0.0,0.0369,0.0,0.89
1,220,2361,0.019,0.029,0.0,0.0004,6.2339,6.2819,0.0,0.0352,0.0,0.94
1,230,2361,0.019,0.028,0.0,0.0004,6.1623,6.2772,0.0667,0.034,0.0,0.98
1,240,2361,0.019,0.028,0.0001,0.0004,5.8583,6.2695,0.0,0.0326,6.25,1.04
1,250,2361,0.019,0.027,0.0,0.0004,5.8112,6.2579,0.0,0.0334,0.0,1.05
1,260,2361,0.019,0.027,0.0,0.0004,6.0528,6.2546,0.0,0.0331,0.0,1.03
1,270,2361,0.019,0.027,0.0,0.0004,6.0532,6.2474,0.0,0.0321,0.0,1.13
1,280,2361,0.019,0.026,0.0001,0.0004,5.8243,6.239,0.0,0.031,0.0,1.21
1,290,2361,0.02,0.026,0.0,0.0003,6.2503,6.2333,0.0,0.0321,0.0,1.21
1,300,2361,0.019,0.026,0.0,0.0003,5.9312,6.2241,0.3016,0.0325,0.0,1.29
1,310,2361,0.019,0.026,0.0,0.0003,6.0252,6.2146,0.0,0.032,0.0,1.27
1,320,2361,0.02,0.026,0.0,0.0003,6.3875,6.2077,0.0,0.0328,0.0,1.29
1,330,2361,0.019,0.025,0.0,0.0003,5.9606,6.2031,0.0,0.0338,0.0,1.27
1,340,2361,0.019,0.025,0.0001,0.0003,5.9591,6.1899,0.0,0.0339,6.25,1.36
1,350,2361,0.019,0.025,0.0,0.0003,6.0703,6.1837,0.0,0.0339,6.25,1.43
1,360,2361,0.019,0.025,0.0,0.0003,5.9916,6.1768,0.0892,0.0338,0.0,1.48
1,370,2361,0.019,0.025,0.0,0.0003,6.015,6.1703,0.114,0.0348,6.25,1.57
1,380,2361,0.02,0.025,0.0,0.0003,6.1561,6.1625,0.0,0.0344,0.0,1.6
1,390,2361,0.019,0.024,0.0001,0.0003,5.9674,6.1546,0.0,0.0352,6.25,1.65
1,400,2361,0.018,0.024,0.0,0.0003,6.2079,6.1493,0.0,0.0351,0.0,1.66
1,410,2361,0.019,0.024,0.0,0.0003,5.8012,6.1432,0.0,0.0356,12.5,1.71
1,420,2361,0.019,0.024,0.0,0.0003,5.5808,6.1341,0.0,0.0364,6.25,1.8
1,430,2361,0.02,0.024,0.0001,0.0003,5.621,6.1241,0.0,0.0364,18.75,1.9
1,440,2361,0.019,0.024,0.0001,0.0003,5.4859,6.1147,0.0,0.0362,12.5,1.97
1,450,2361,0.019,0.024,0.0,0.0002,6.157,6.1071,0.0,0.0371,0.0,2.0
1,460,2361,0.019,0.024,0.0,0.0002,5.7704,6.1037,0.0,0.0377,0.0,2.01
1,470,2361,0.019,0.023,0.0,0.0002,5.609,6.0961,0.0,0.0373,12.5,2.06
1,480,2361,0.019,0.023,0.0,0.0002,5.6865,6.0873,0.0,0.0383,0.0,2.1
1,490,2361,0.019,0.023,0.0001,0.0002,5.5636,6.0788,0.0,0.0378,6.25,2.16
1,500,2361,0.019,0.023,0.0,0.0002,6.231,6.0703,0.0,0.0379,6.25,2.19
1,510,2361,0.019,0.023,0.0001,0.0002,5.1206,6.0609,0.0,0.0379,0.0,2.19
1,520,2361,0.019,0.023,0.0,0.0002,5.6988,6.0528,0.0,0.0377,0.0,2.22
1,530,2361,0.019,0.023,0.0,0.0002,5.8822,6.0482,0.0,0.0374,6.25,2.21
1,540,2361,0.019,0.023,0.0,0.0002,5.3797,6.0393,0.0,0.0377,12.5,2.25
1,550,2361,0.019,0.023,0.0,0.0002,6.0134,6.0308,0.0,0.0373,0.0,2.33
1,560,2361,0.019,0.023,0.0,0.0002,5.9322,6.0234,0.1511,0.0379,0.0,2.35
1,570,2361,0.019,0.023,0.0,0.0002,5.6949,6.0168,0.0,0.0388,0.0,2.36
1,580,2361,0.019,0.023,0.0001,0.0002,5.7683,6.0129,0.0,0.0396,0.0,2.37
1,590,2361,0.019,0.023,0.0001,0.0002,5.7774,6.0076,0.1471,0.0401,6.25,2.45
1,600,2361,0.019,0.022,0.0,0.0002,5.3676,5.9986,0.0,0.0404,12.5,2.52
1,610,2361,0.02,0.022,0.0,0.0002,5.3988,5.9891,0.0,0.0404,0.0,2.56
1,620,2361,0.019,0.022,0.0,0.0002,5.0936,5.9815,0.0,0.0402,12.5,2.62
1,630,2361,0.019,0.022,0.0,0.0002,5.5839,5.9724,0.0,0.0396,0.0,2.65
1,640,2361,0.018,0.022,0.0001,0.0002,5.5144,5.9651,0.0,0.0396,0.0,2.66
1,650,2361,0.02,0.022,0.0,0.0002,5.3262,5.9573,0.0,0.0391,6.25,2.69
1,660,2361,0.019,0.022,0.0,0.0002,5.5607,5.9505,0.0,0.0391,0.0,2.7
1,670,2361,0.019,0.022,0.0,0.0002,5.3545,5.9413,0.0,0.0385,6.25,2.72
1,680,2361,0.019,0.022,0.0,0.0002,5.0436,5.9314,0.3211,0.0391,6.25,2.77
1,690,2361,0.019,0.022,0.0001,0.0002,4.8442,5.9207,0.0,0.0386,6.25,2.83
1,700,2361,0.019,0.022,0.0,0.0002,5.384,5.9157,0.0,0.0384,0.0,2.84
1,710,2361,0.019,0.022,0.0,0.0002,5.5123,5.9065,0.0,0.0381,6.25,2.91
1,720,2361,0.019,0.022,0.0,0.0002,5.047,5.9006,0.0,0.0376,0.0,2.93
1,730,2361,0.019,0.022,0.0,0.0002,5.3962,5.895,0.0,0.038,6.25,2.96
1,740,2361,0.019,0.022,0.0,0.0002,5.1481,5.8867,0.0,0.0388,12.5,3.03
1,750,2361,0.019,0.022,0.0,0.0002,5.3666,5.8804,0.0,0.0389,12.5,3.04
1,760,2361,0.019,0.022,0.0001,0.0002,5.0451,5.8697,0.0,0.0386,6.25,3.11
1,770,2361,0.019,0.022,0.0,0.0002,5.603,5.862,0.0,0.0388,0.0,3.1
1,780,2361,0.019,0.022,0.0001,0.0002,5.6794,5.8527,0.0,0.0383,6.25,3.17
1,790,2361,0.019,0.022,0.0,0.0002,5.6662,5.8451,0.0,0.038,0.0,3.18
1,800,2361,0.019,0.022,0.0,0.0002,5.1147,5.8362,0.0,0.0375,6.25,3.23
1,810,2361,0.019,0.022,0.0,0.0002,4.8907,5.8305,0.0,0.0376,18.75,3.26
1,820,2361,0.019,0.022,0.0,0.0002,5.4019,5.8231,0.0,0.0374,0.0,3.33
1,830,2361,0.021,0.022,0.0,0.0002,5.6082,5.8168,0.189,0.0372,12.5,3.4
1,840,2361,0.019,0.021,0.0001,0.0002,5.3599,5.8101,0.077,0.0382,0.0,3.39
1,850,2361,0.019,0.021,0.0001,0.0002,4.939,5.8038,0.0,0.0381,6.25,3.42
1,860,2361,0.019,0.021,0.0002,0.0002,5.3934,5.798,0.0,0.038,6.25,3.42
1,870,2361,0.019,0.021,0.0,0.0002,5.6269,5.7902,0.1509,0.0377,0.0,3.43
1,880,2361,0.019,0.021,0.0,0.0002,5.2909,5.7829,0.0,0.0384,0.0,3.49
1,890,2361,0.019,0.021,0.0,0.0002,5.1448,5.7746,0.0,0.0391,0.0,3.49
1,900,2361,0.019,0.021,0.0,0.0001,5.9463,5.7683,0.0,0.0391,0.0,3.53
1,910,2361,0.019,0.021,0.0,0.0001,5.557,5.7618,0.0,0.0389,6.25,3.56
1,920,2361,0.019,0.021,0.0,0.0001,5.2581,5.7547,0.105,0.0386,0.0,3.59
1,930,2361,0.019,0.021,0.0,0.0001,4.9865,5.7472,0.0,0.0385,18.75,3.66
1,940,2361,0.019,0.021,0.0,0.0001,5.0102,5.7407,0.0,0.0383,6.25,3.67
1,950,2361,0.019,0.021,0.0,0.0001,5.5452,5.7336,0.0,0.0383,0.0,3.72
1,960,2361,0.019,0.021,0.0,0.0001,5.005,5.7262,0.0,0.0383,6.25,3.73
1,970,2361,0.019,0.021,0.0,0.0001,5.3057,5.7196,0.0,0.038,0.0,3.72
1,980,2361,0.019,0.021,0.0001,0.0001,4.3528,5.7114,0.0373,0.038,0.0,3.76
1,990,2361,0.02,0.021,0.0,0.0001,4.6001,5.7041,0.0,0.0381,6.25,3.81
1,1000,2361,0.019,0.021,0.0,0.0001,5.1673,5.697,0.0,0.0381,6.25,3.86
1,1010,2361,0.019,0.021,0.0001,0.0001,4.5559,5.6918,0.0,0.0377,18.75,3.9
1,1020,2361,0.018,0.021,0.0,0.0001,4.7671,5.6834,0.0259,0.038,12.5,3.96
1,1030,2361,0.019,0.021,0.0001,0.0001,5.3541,5.6773,0.0,0.0377,6.25,3.99
1,1040,2361,0.019,0.021,0.0,0.0001,4.9812,5.672,0.0,0.0376,12.5,4.03
1,1050,2361,0.021,0.021,0.0001,0.0001,4.4045,5.6669,0.0,0.0375,12.5,4.05
1,1060,2361,0.019,0.021,0.0,0.0001,5.3431,5.6598,0.0,0.0372,0.0,4.09
1,1070,2361,0.019,0.021,0.0,0.0001,4.8295,5.6539,0.0,0.0368,0.0,4.11
1,1080,2361,0.023,0.021,0.0,0.0001,5.3319,5.6469,0.2788,0.0373,6.25,4.15
1,1090,2361,0.02,0.021,0.0001,0.0001,5.0637,5.6408,0.0,0.037,6.25,4.16
1,1100,2361,0.02,0.021,0.0001,0.0001,4.727,5.6316,0.0,0.037,12.5,4.24
1,1110,2361,0.02,0.021,0.0,0.0001,4.3798,5.623,0.0,0.037,12.5,4.28
1,1120,2361,0.02,0.021,0.0,0.0001,4.6989,5.6162,0.0,0.0367,0.0,4.32
1,1130,2361,0.02,0.021,0.0001,0.0001,4.5471,5.609,0.0,0.0366,6.25,4.35
1,1140,2361,0.018,0.021,0.0,0.0001,4.6693,5.6014,0.0,0.0364,12.5,4.41
1,1150,2361,0.019,0.021,0.0001,0.0001,4.5593,5.5946,0.0,0.0364,18.75,4.45
1,1160,2361,0.02,0.021,0.0,0.0001,4.607,5.5874,0.0,0.0361,18.75,4.5
1,1170,2361,0.02,0.021,0.0,0.0001,4.9502,5.5813,0.0,0.0362,18.75,4.53
1,1180,2361,0.019,0.021,0.0001,0.0001,5.0601,5.5736,0.1669,0.0362,6.25,4.59
1,1190,2361,0.019,0.021,0.0,0.0001,4.8783,5.5672,0.0,0.0359,12.5,4.64
1,1200,2361,0.02,0.021,0.0,0.0001,4.7398,5.5619,0.0,0.0356,12.5,4.67
