epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,2361,0.018,0.245,0.0,0.0098,6.3228,6.4004,0.0,0.056,0.0,0.0
1,20,2361,0.018,0.132,0.0001,0.0049,6.5415,6.4119,0.0,0.0549,0.0,0.0
1,30,2361,0.018,0.094,0.0001,0.0033,6.4817,6.404,0.0,0.0555,0.0,0.0
1,40,2361,0.018,0.075,0.0,0.0025,6.4282,6.4029,0.0,0.0434,0.0,0.16
1,50,2361,0.018,0.064,0.0,0.002,6.4037,6.4025,0.3005,0.0479,0.0,0.25
1,60,2361,0.019,0.056,0.0,0.0017,6.3551,6.4036,0.0,0.0476,0.0,0.31
1,70,2361,0.018,0.051,0.0002,0.0015,6.4037,6.4027,0.0,0.0451,0.0,0.45
1,80,2361,0.018,0.047,0.0,0.0013,6.43,6.403,0.0,0.0477,0.0,0.39
1,90,2361,0.018,0.044,0.0,0.0011,6.3355,6.4066,0.0,0.0514,6.25,0.42
1,100,2361,0.018,0.041,0.0,0.001,6.5104,6.4119,0.0,0.0493,0.0,0.38
1,110,2361,0.019,0.039,0.0002,0.0009,6.3091,6.4117,0.0,0.0472,0.0,0.34
1,120,2361,0.018,0.037,0.0,0.0009,6.3753,6.4102,0.0,0.0483,0.0,0.31
1,130,2361,0.019,0.036,0.0001,0.0008,6.4892,6.4094,0.0,0.0507,0.0,0.29
1,140,2361,0.018,0.035,0.0001,0.0008,6.2928,6.4067,0.0,0.0483,0.0,0.31
1,150,2361,0.018,0.033,0.0001,0.0007,6.4317,6.4054,0.0,0.0466,0.0,0.29
1,160,2361,0.019,0.033,0.0,0.0007,6.3284,6.4055,0.1128,0.0457,0.0,0.31
1,170,2361,0.018,0.032,0.0001,0.0006,6.5321,6.4056,0.0,0.045,0.0,0.33
1,180,2361,0.018,0.031,0.0,0.0006,6.3501,6.4052,0.0,0.0425,0.0,0.31
1,190,2361,0.019,0.03,0.0001,0.0006,6.3851,6.4053,0.0,0.0402,0.0,0.3
