epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,1180,0.031,0.282,0.0001,0.0141,6.4038,6.3976,0.0,0.1278,0.0,0.31
1,20,1180,0.032,0.157,0.0,0.0071,6.3762,6.3702,0.1297,0.1161,0.0,0.16
1,30,1180,0.031,0.115,0.0001,0.0047,6.2688,6.3596,0.0,0.1036,0.0,0.31
1,40,1180,0.031,0.094,0.0,0.0036,6.3299,6.3535,0.2421,0.1018,0.0,0.31
1,50,1180,0.033,0.082,0.0001,0.0029,6.3806,6.341,0.0,0.1066,0.0,0.62
1,60,1180,0.031,0.073,0.0001,0.0024,6.2571,6.3317,0.0,0.1007,0.0,0.62
1,70,1180,0.032,0.067,0.0001,0.0021,6.1126,6.3238,0.0721,0.0949,3.12,0.8
1,80,1180,0.032,0.063,0.0001,0.0018,6.0975,6.3119,0.0613,0.0887,3.12,0.9
1,90,1180,0.031,0.059,0.0001,0.0016,6.114,6.3033,0.2056,0.0853,6.25,1.01
1,100,1180,0.033,0.057,0.0002,0.0015,6.4223,6.3017,0.2134,0.0839,0.0,0.94
1,110,1180,0.032,0.054,0.0001,0.0013,6.2752,6.2898,0.0,0.082,3.12,0.97
1,120,1180,0.031,0.053,0.0001,0.0012,6.1046,6.282,0.0,0.0804,3.12,0.99
1,130,1180,0.033,0.051,0.0,0.0011,6.1376,6.2713,0.0444,0.0791,0.0,0.94
1,140,1180,0.031,0.05,0.0,0.0011,6.1799,6.2623,0.0,0.0756,3.12,1.03
1,150,1180,0.032,0.048,0.0,0.001,6.0463,6.2524,0.15,0.078,9.38,1.06
1,160,1180,0.031,0.047,0.0001,0.0009,6.2026,6.2415,0.0,0.077,0.0,1.07
1,170,1180,0.031,0.046,0.0,0.0009,6.0033,6.229,0.0,0.0784,0.0,1.14
1,180,1180,0.031,0.046,0.0002,0.0008,5.9835,6.2216,0.1156,0.0791,3.12,1.13
1,190,1180,0.031,0.045,0.0,0.0008,6.1053,6.2131,0.1095,0.0788,0.0,1.17
1,200,1180,0.031,0.044,0.0,0.0008,6.1954,6.2055,0.2642,0.0801,0.0,1.22
1,210,1180,0.031,0.044,0.0001,0.0007,6.0271,6.1971,0.0,0.0803,0.0,1.29
1,220,1180,0.031,0.043,0.0001,0.0007,5.8458,6.1853,0.0,0.0787,6.25,1.38
1,230,1180,0.032,0.042,0.0001,0.0007,5.9587,6.1795,0.0667,0.0785,3.12,1.41
1,240,1180,0.031,0.042,0.0001,0.0006,5.783,6.1692,0.0,0.08,6.25,1.51
1,250,1180,0.031,0.042,0.0001,0.0006,6.1201,6.1585,0.0804,0.0796,3.12,1.59
1,260,1180,0.032,0.041,0.0001,0.0006,5.8668,6.1482,0.0199,0.0785,3.12,1.6
1,270,1180,0.031,0.041,0.0002,0.0006,5.6201,6.1387,0.0043,0.0776,15.62,1.7
1,280,1180,0.033,0.041,0.0001,0.0006,6.2507,6.1284,0.1396,0.0779,0.0,1.8
1,290,1180,0.032,0.04,0.0001,0.0005,5.9857,6.1208,0.0,0.0786,3.12,1.82
1,300,1180,0.033,0.04,0.0001,0.0005,5.695,6.1106,0.0346,0.0799,9.38,1.97
1,310,1180,0.033,0.04,0.0001,0.0005,5.6621,6.0977,0.086,0.0797,6.25,2.06
1,320,1180,0.031,0.039,0.0001,0.0005,5.8179,6.0853,0.0,0.0789,6.25,2.15
1,330,1180,0.031,0.039,0.0001,0.0005,5.8021,6.0749,0.0,0.0777,3.12,2.21
1,340,1180,0.032,0.039,0.0,0.0005,5.5838,6.0601,0.2702,0.0771,3.12,2.3
1,350,1180,0.031,0.039,0.0002,0.0005,5.7482,6.0488,0.0,0.0763,0.0,2.36
1,360,1180,0.031,0.039,0.0,0.0005,5.503,6.0374,0.1173,0.0762,3.12,2.45
1,370,1180,0.032,0.038,0.0001,0.0004,5.6286,6.0268,0.1945,0.0761,6.25,2.51
1,380,1180,0.031,0.038,0.0,0.0004,5.0913,6.0134,0.2603,0.0766,12.5,2.57
1,390,1180,0.032,0.038,0.0001,0.0004,5.8139,5.9999,0.1951,0.0759,6.25,2.66
1,400,1180,0.031,0.038,0.0,0.0004,5.41,5.9874,0.0918,0.0762,6.25,2.73
1,410,1180,0.031,0.038,0.0,0.0004,5.3684,5.9778,0.1669,0.0766,3.12,2.8
1,420,1180,0.033,0.038,0.0,0.0004,5.5234,5.9674,0.2317,0.0773,3.12,2.83
1,430,1180,0.032,0.037,0.0002,0.0004,5.643,5.9582,0.0633,0.0765,6.25,2.85
1,440,1180,0.033,0.037,0.0001,0.0004,5.4387,5.9459,0.0,0.0767,3.12,2.89
1,450,1180,0.032,0.037,0.0002,0.0004,5.7251,5.935,0.0,0.0767,6.25,2.92
1,460,1180,0.032,0.037,0.0001,0.0004,5.4974,5.9241,0.1448,0.0762,0.0,3.01
1,470,1180,0.031,0.037,0.0002,0.0004,5.2263,5.9129,0.0791,0.0762,9.38,3.11
1,480,1180,0.037,0.037,0.0,0.0004,5.4562,5.901,0.046,0.076,3.12,3.18
1,490,1180,0.032,0.037,0.0002,0.0004,5.0737,5.8895,0.1937,0.0758,0.0,3.2
1,500,1180,0.032,0.037,0.0001,0.0003,5.6063,5.8777,0.0,0.0765,6.25,3.29
1,510,1180,0.031,0.037,0.0002,0.0003,4.9104,5.8661,0.0466,0.0764,9.38,3.36
1,520,1180,0.032,0.037,0.0,0.0003,5.4301,5.8569,0.0,0.0756,6.25,3.38
1,530,1180,0.032,0.036,0.0001,0.0003,5.5819,5.8473,0.1006,0.0761,9.38,3.45
1,540,1180,0.031,0.036,0.0,0.0003,5.3539,5.837,0.1307,0.0765,6.25,3.49
1,550,1180,0.032,0.036,0.0001,0.0003,5.1808,5.8238,0.0,0.0764,6.25,3.57
1,560,1180,0.032,0.036,0.0,0.0003,5.3196,5.8111,0.0,0.0765,0.0,3.63
1,570,1180,0.031,0.036,0.0001,0.0003,5.0445,5.7989,0.0608,0.0766,9.38,3.66
1,580,1180,0.032,0.036,0.0,0.0003,5.1393,5.787,0.0435,0.0773,9.38,3.73
1,590,1180,0.032,0.036,0.0001,0.0003,5.3264,5.7758,0.0044,0.0769,6.25,3.78
1,600,1180,0.032,0.036,0.0001,0.0003,5.096,5.7658,0.0737,0.0762,15.62,3.82
1,610,1180,0.032,0.036,0.0002,0.0003,5.1773,5.756,0.0728,0.0772,9.38,3.91
1,620,1180,0.032,0.036,0.0,0.0003,4.6679,5.7435,0.1089,0.078,15.62,3.98
1,630,1180,0.033,0.036,0.0002,0.0003,4.9799,5.7323,0.0755,0.0775,3.12,4.05
1,640,1180,0.033,0.036,0.0001,0.0003,5.146,5.7208,0.0,0.0774,3.12,4.06
1,650,1180,0.033,0.036,0.0,0.0003,4.9317,5.7116,0.0661,0.0779,9.38,4.11
1,660,1180,0.031,0.036,0.0,0.0003,5.03,5.7019,0.1532,0.0788,9.38,4.15
1,670,1180,0.032,0.036,0.0001,0.0003,5.2134,5.6926,0.2286,0.0792,6.25,4.22
1,680,1180,0.031,0.035,0.0001,0.0003,5.2157,5.6829,0.2086,0.0793,6.25,4.28
1,690,1180,0.033,0.035,0.0001,0.0003,4.8018,5.6716,0.0,0.0786,12.5,4.37
1,700,1180,0.032,0.035,0.0,0.0003,4.7499,5.6605,0.0803,0.0785,9.38,4.42
1,710,1180,0.033,0.035,0.0,0.0003,4.7124,5.6507,0.0,0.0781,6.25,4.46
1,720,1180,0.033,0.035,0.0,0.0003,4.9427,5.6404,0.1244,0.0778,12.5,4.5
1,730,1180,0.033,0.035,0.0,0.0003,4.8405,5.6286,0.2844,0.0778,6.25,4.54
1,740,1180,0.031,0.035,0.0001,0.0003,4.9686,5.6207,0.1008,0.0778,6.25,4.57
1,750,1180,0.032,0.035,0.0,0.0003,4.824,5.6106,0.0223,0.0781,9.38,4.62
1,760,1180,0.032,0.035,0.0,0.0003,4.4753,5.5993,0.2319,0.0775,12.5,4.71
1,770,1180,0.033,0.035,0.0002,0.0002,4.3449,5.5881,0.0,0.0773,28.12,4.77
1,780,1180,0.033,0.035,0.0001,0.0002,4.9988,5.5792,0.0,0.0782,0.0,4.82
1,790,1180,0.032,0.035,0.0,0.0002,4.9024,5.5685,0.2039,0.0782,6.25,4.88
1,800,1180,0.032,0.035,0.0001,0.0002,4.4657,5.5583,0.0951,0.0776,9.38,4.97
1,810,1180,0.033,0.035,0.0,0.0002,4.3066,5.5472,0.0575,0.0771,15.62,5.05
1,820,1180,0.033,0.035,0.0001,0.0002,4.5001,5.5368,0.0,0.077,12.5,5.16
1,830,1180,0.032,0.035,0.0,0.0002,4.8916,5.5258,0.0031,0.0764,3.12,5.24
1,840,1180,0.033,0.035,0.0001,0.0002,4.7112,5.517,0.0,0.077,12.5,5.29
1,850,1180,0.032,0.035,0.0001,0.0002,4.6928,5.5062,0.1124,0.0773,12.5,5.39
1,860,1180,0.034,0.035,0.0001,0.0002,4.5579,5.4957,0.3252,0.0779,15.62,5.44
