epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.055,0.386,0.0001,0.0195,6.3853,6.3618,0.173,0.2096,0.0,0.16
1,20,590,0.056,0.221,0.0001,0.0098,6.3559,6.3461,0.1527,0.1902,0.0,0.55
1,30,590,0.056,0.166,0.0001,0.0066,6.1392,6.3124,0.1763,0.185,3.12,0.78
1,40,590,0.055,0.138,0.0001,0.005,6.0744,6.2922,0.1577,0.1734,1.56,1.05
1,50,590,0.055,0.122,0.0001,0.004,6.187,6.2762,0.2342,0.1669,3.12,1.12
1,60,590,0.055,0.11,0.0001,0.0033,5.9441,6.2469,0.0722,0.1591,1.56,1.33
1,70,590,0.056,0.103,0.0001,0.0029,5.9219,6.2167,0.1645,0.157,3.12,1.43
1,80,590,0.055,0.097,0.0001,0.0025,5.9898,6.1798,0.1437,0.1591,3.12,1.58
1,90,590,0.055,0.092,0.0001,0.0023,5.7306,6.1397,0.0654,0.1588,3.12,1.75
1,100,590,0.056,0.088,0.0001,0.002,5.6777,6.1021,0.2586,0.1623,0.0,1.91
1,110,590,0.056,0.085,0.0002,0.0019,5.4518,6.0577,0.0228,0.1573,10.94,2.32
1,120,590,0.055,0.083,0.0001,0.0017,5.363,6.0173,0.239,0.1628,4.69,2.6
1,130,590,0.055,0.081,0.0001,0.0016,5.3274,5.9681,0.1448,0.1604,4.69,2.79
1,140,590,0.055,0.079,0.0001,0.0015,5.549,5.9271,0.2971,0.1615,1.56,2.89
1,150,590,0.056,0.077,0.0001,0.0014,5.2108,5.8879,0.0154,0.161,14.06,3.1
1,160,590,0.055,0.076,0.0001,0.0013,5.1948,5.8411,0.1713,0.1611,4.69,3.28
1,170,590,0.055,0.075,0.0001,0.0012,4.9783,5.7924,0.2281,0.1635,6.25,3.58
1,180,590,0.055,0.074,0.0001,0.0012,4.9273,5.7486,0.181,0.1644,1.56,3.88
1,190,590,0.056,0.073,0.0001,0.0011,4.612,5.7051,0.322,0.1648,10.94,4.11
1,200,590,0.059,0.072,0.0001,0.0011,4.4852,5.6577,0.2049,0.1631,15.62,4.32
1,210,590,0.056,0.071,0.0002,0.001,4.7205,5.6184,0.245,0.1638,7.81,4.57
1,220,590,0.055,0.07,0.0001,0.001,4.5218,5.5794,0.1726,0.1636,14.06,4.71
1,230,590,0.061,0.07,0.0002,0.0009,4.6226,5.539,0.2066,0.1652,12.5,4.99
1,240,590,0.055,0.069,0.0001,0.0009,4.42,5.4972,0.0873,0.1661,18.75,5.34
1,250,590,0.055,0.069,0.0002,0.0009,4.4772,5.4568,0.0259,0.1679,15.62,5.55
1,260,590,0.055,0.068,0.0001,0.0008,4.5057,5.4214,0.2348,0.1676,15.62,5.81
1,270,590,0.056,0.068,0.0001,0.0008,4.3828,5.3852,0.2767,0.1673,14.06,6.0
1,280,590,0.056,0.067,0.0001,0.0008,4.2744,5.345,0.026,0.1663,10.94,6.26
1,290,590,0.055,0.067,0.0001,0.0008,4.3326,5.307,0.1949,0.1681,12.5,6.52
1,300,590,0.055,0.067,0.0001,0.0008,4.3356,5.2717,0.1127,0.1662,9.38,6.74
1,310,590,0.058,0.066,0.0002,0.0007,3.915,5.2368,0.0856,0.1667,20.31,7.03
1,320,590,0.055,0.066,0.0001,0.0007,4.1465,5.2011,0.1771,0.1671,14.06,7.23
1,330,590,0.055,0.066,0.0001,0.0007,4.0916,5.1696,0.0691,0.1674,17.19,7.45
1,340,590,0.055,0.065,0.0001,0.0007,4.1343,5.1377,0.2103,0.1677,17.19,7.82
1,350,590,0.055,0.065,0.0001,0.0007,3.9924,5.1036,0.16,0.1677,20.31,8.12
1,360,590,0.056,0.065,0.0002,0.0006,3.9117,5.0735,0.0921,0.169,17.19,8.33
1,370,590,0.055,0.065,0.0001,0.0006,3.9961,5.0424,0.0915,0.1687,17.19,8.64
1,380,590,0.056,0.064,0.0002,0.0006,3.5668,5.0099,0.1646,0.1677,25.0,8.99
1,390,590,0.055,0.064,0.0001,0.0006,4.2233,4.98,0.1061,0.1678,14.06,9.24
1,400,590,0.056,0.064,0.0001,0.0006,3.6665,4.9485,0.3028,0.1676,17.19,9.59
1,410,590,0.054,0.064,0.0001,0.0006,3.5796,4.9169,0.0949,0.1669,23.44,9.91
1,420,590,0.055,0.066,0.0002,0.0034,3.7327,4.8855,0.2537,0.167,28.12,10.24
1,430,590,0.055,0.066,0.0001,0.0033,3.6291,4.8545,0.3168,0.1669,15.62,10.52
1,440,590,0.058,0.066,0.0001,0.0032,3.5317,4.8283,0.386,0.167,25.0,10.77
1,450,590,0.055,0.066,0.0001,0.0032,3.3986,4.7997,0.1578,0.1668,21.88,11.03
1,460,590,0.055,0.065,0.0001,0.0031,3.3627,4.7722,0.089,0.1666,34.38,11.3
1,470,590,0.055,0.065,0.0001,0.003,3.7542,4.7448,0.0837,0.1665,20.31,11.63
1,480,590,0.057,0.065,0.0002,0.003,3.1019,4.7179,0.1138,0.1662,34.38,11.89
1,490,590,0.059,0.065,0.0001,0.0029,3.4991,4.6914,0.0408,0.1662,15.62,12.14
1,500,590,0.058,0.065,0.0001,0.0029,3.5435,4.665,0.1117,0.1662,25.0,12.43
1,510,590,0.056,0.065,0.0001,0.0028,3.3193,4.6409,0.2031,0.1662,31.25,12.69
1,520,590,0.055,0.064,0.0001,0.0028,3.2105,4.6148,0.0733,0.1654,25.0,12.97
1,530,590,0.059,0.064,0.0001,0.0027,3.4254,4.5894,0.0539,0.1643,20.31,13.28
1,540,590,0.058,0.064,0.0001,0.0027,3.2283,4.564,0.218,0.1638,28.12,13.55
1,550,590,0.055,0.064,0.0001,0.0026,3.0183,4.538,0.1288,0.1628,37.5,13.87
1,560,590,0.055,0.064,0.0001,0.0026,2.9239,4.5124,0.1302,0.1624,35.94,14.16
1,570,590,0.055,0.064,0.0002,0.0025,3.0908,4.4891,0.1274,0.1621,31.25,14.43
1,580,590,0.055,0.063,0.0001,0.0025,3.2087,4.4651,0.0003,0.1607,31.25,14.72
1,590,590,0.053,0.063,0.0,0.0024,3.172,4.4396,0.421,0.1613,21.88,15.06
2,10,590,0.056,0.078,0.0001,0.0211,2.7475,2.8344,0.0588,0.1019,43.75,37.34
