epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.057,0.401,0.0001,0.0239,6.3953,6.3637,0.2139,0.1999,0.0,0.31
1,20,590,0.058,0.229,0.0001,0.012,6.3734,6.3487,0.196,0.1733,0.0,0.7
1,30,590,0.057,0.172,0.0001,0.008,6.1396,6.3117,0.1577,0.1631,3.12,0.83
1,40,590,0.057,0.144,0.0001,0.006,6.03,6.2832,0.1736,0.1573,1.56,1.05
1,50,590,0.056,0.126,0.0001,0.0049,6.1248,6.2587,0.2189,0.1534,3.12,1.19
1,60,590,0.057,0.115,0.0001,0.0041,5.8132,6.2188,0.0849,0.1468,6.25,1.48
1,70,590,0.057,0.107,0.0001,0.0035,5.7684,6.1741,0.134,0.1484,3.12,1.63
1,80,590,0.057,0.1,0.0001,0.0031,5.7729,6.1221,0.0853,0.1505,3.12,1.8
1,90,590,0.056,0.096,0.0002,0.0027,5.4802,6.0684,0.0262,0.1486,4.69,2.07
1,100,590,0.057,0.092,0.0001,0.0025,5.4458,6.0173,0.3005,0.152,1.56,2.28
1,110,590,0.061,0.089,0.0001,0.0023,5.1517,5.9586,0.0227,0.1483,7.81,2.66
1,120,590,0.058,0.086,0.0001,0.0021,5.153,5.9048,0.1311,0.151,4.69,2.96
1,130,590,0.057,0.084,0.0001,0.0019,5.1028,5.8442,0.1803,0.1514,6.25,3.32
1,140,590,0.057,0.082,0.0001,0.0018,5.3123,5.7923,0.285,0.1554,6.25,3.53
1,150,590,0.057,0.08,0.0001,0.0017,4.902,5.7429,0.0307,0.1541,14.06,3.92
1,160,590,0.058,0.079,0.0001,0.0016,4.9343,5.6869,0.0927,0.153,3.12,4.26
1,170,590,0.059,0.078,0.0001,0.0015,4.6548,5.6299,0.1596,0.1539,14.06,4.7
1,180,590,0.058,0.076,0.0001,0.0014,4.672,5.5789,0.2107,0.1534,9.38,5.11
1,190,590,0.058,0.075,0.0001,0.0014,4.3552,5.5301,0.3117,0.1546,12.5,5.48
