epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,464,0.035,0.638,0.0001,0.0533,6.3351,6.3678,0.1633,0.2415,1.56,0.78
1,20,464,0.034,0.338,0.0001,0.0267,6.328,6.3442,0.0165,0.2192,1.56,0.7
1,30,464,0.088,0.242,0.053,0.0227,6.3761,6.3159,0.1471,0.2198,0.0,0.68
1,40,464,0.035,0.193,0.0002,0.02,6.168,6.2918,0.0491,0.1989,3.12,0.98
1,50,464,0.095,0.165,0.0605,0.0192,6.2123,6.2639,0.1712,0.1955,1.56,1.25
1,60,464,0.034,0.145,0.0001,0.0175,6.1967,6.2329,0.1858,0.1924,1.56,1.46
1,70,464,0.074,0.131,0.0368,0.0168,5.968,6.2014,0.1317,0.1883,4.69,1.7
1,80,464,0.089,0.121,0.0523,0.0167,5.784,6.1702,0.1307,0.1876,1.56,1.91
1,90,464,0.035,0.113,0.0001,0.016,5.8959,6.1352,0.1035,0.1791,4.69,2.08
1,100,464,0.083,0.107,0.0487,0.0159,5.565,6.0948,0.2127,0.1741,6.25,2.31
1,110,464,0.034,0.101,0.0001,0.0157,5.7706,6.055,0.1263,0.1733,4.69,2.49
1,120,464,0.126,0.098,0.091,0.0162,5.5282,6.0178,0.2321,0.172,3.12,2.59
1,130,464,0.035,0.094,0.0003,0.016,5.2183,5.9717,0.1486,0.1734,6.25,2.74
1,140,464,0.109,0.091,0.0741,0.0163,5.1752,5.9254,0.1433,0.1744,1.56,2.94
1,150,464,0.034,0.089,0.0001,0.0161,5.117,5.8728,0.0554,0.1723,6.25,3.25
1,160,464,0.088,0.087,0.0537,0.0164,5.1832,5.8273,0.0151,0.1738,0.0,3.55
1,170,464,0.035,0.084,0.0002,0.0162,4.8027,5.7781,0.124,0.1764,9.38,3.79
1,180,464,0.154,0.083,0.12,0.0168,4.6646,5.7347,0.2046,0.1766,12.5,4.0
1,190,464,0.034,0.081,0.0001,0.0165,4.7855,5.6903,0.6361,0.1807,4.69,4.19
1,200,464,0.105,0.081,0.0695,0.0175,4.935,5.6474,0.2196,0.1793,12.5,4.53
1,210,464,0.034,0.08,0.0002,0.0174,5.0025,5.6045,0.0065,0.1811,6.25,4.78
1,220,464,0.086,0.078,0.0514,0.0174,4.6809,5.5629,0.0271,0.1816,12.5,5.06
1,230,464,0.035,0.077,0.0002,0.0174,4.618,5.5247,0.3465,0.1824,14.06,5.33
1,240,464,0.134,0.076,0.0972,0.0175,4.3064,5.4844,0.3411,0.1828,14.06,5.7
1,250,464,0.034,0.075,0.0002,0.0174,4.8824,5.4437,0.1701,0.1813,6.25,5.99
1,260,464,0.12,0.075,0.0813,0.0175,4.5848,5.4055,0.033,0.1812,9.38,6.29
1,270,464,0.034,0.074,0.0002,0.0173,4.285,5.365,0.2268,0.1808,20.31,6.61
1,280,464,0.105,0.073,0.0707,0.0175,4.4713,5.3269,0.1799,0.1813,9.38,6.88
1,290,464,0.034,0.072,0.0001,0.0173,4.0403,5.2883,0.083,0.1825,23.44,7.22
1,300,464,0.092,0.072,0.058,0.0174,4.2832,5.253,0.1163,0.1819,15.62,7.52
