epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.107,0.466,0.0001,0.0234,6.5859,6.4904,0.2371,0.3781,1.56,0.78
1,20,590,0.105,0.284,0.0001,0.0118,6.4956,6.5187,0.2003,0.3575,1.56,1.17
1,30,590,0.102,0.224,0.0001,0.0079,6.1593,6.4323,0.3312,0.4192,4.69,1.88
1,40,590,0.102,0.193,0.0001,0.0059,5.9705,6.3478,0.0285,0.4879,1.56,1.88
1,50,590,0.102,0.175,0.0001,0.0048,5.8612,6.2748,0.348,0.4468,1.56,1.88
1,60,590,0.104,0.163,0.0001,0.004,5.85,6.2048,0.1485,0.4266,3.12,1.95
1,70,590,0.103,0.155,0.0001,0.0034,5.4599,6.1216,0.2459,0.4004,4.69,2.21
1,80,590,0.103,0.148,0.0001,0.003,5.4944,6.0591,0.0885,0.3814,7.81,2.62
1,90,590,0.102,0.143,0.0001,0.0027,5.3882,5.9905,0.561,0.3732,3.12,2.73
1,100,590,0.103,0.139,0.0001,0.0024,5.3518,5.9258,0.2788,0.3753,1.56,3.03
1,110,590,0.102,0.136,0.0002,0.0022,5.2135,5.8661,0.0747,0.3691,6.25,3.2
1,120,590,0.103,0.133,0.0001,0.0021,5.0851,5.817,0.3009,0.3791,4.69,3.28
1,130,590,0.104,0.131,0.0001,0.0019,5.1256,5.7645,0.2879,0.3782,9.38,3.49
1,140,590,0.103,0.129,0.0001,0.0018,4.8832,5.7118,0.3602,0.3721,4.69,3.59
1,150,590,0.103,0.127,0.0001,0.0017,4.8,5.6624,0.1029,0.3716,7.81,3.74
1,160,590,0.103,0.125,0.0001,0.0016,4.673,5.6177,0.3297,0.3763,6.25,3.93
1,170,590,0.103,0.124,0.0001,0.0015,5.0168,5.5687,0.2666,0.3726,1.56,4.15
1,180,590,0.103,0.123,0.0001,0.0014,4.6102,5.5241,0.7885,0.3722,14.06,4.38
1,190,590,0.103,0.122,0.0001,0.0013,4.6647,5.478,0.0,0.3739,7.81,4.52
