epoch,batch,total_batches,time_instant,time_avg,data_instant,data_avg,xent_instant,xent_avg,htri_instant,htri_avg,acc_instant,acc_avg
1,10,590,0.138,0.748,0.0001,0.0225,6.2825,6.3469,0.1332,0.5418,3.12,0.62
1,20,590,0.138,0.443,0.0001,0.0113,6.2979,6.3277,0.1616,0.3415,0.0,0.62
1,30,590,0.137,0.341,0.0001,0.0076,6.2186,6.3085,0.0646,0.2821,1.56,0.73
1,40,590,0.137,0.29,0.0001,0.0057,6.289,6.3033,0.1307,0.2432,0.0,0.78
1,50,590,0.138,0.26,0.0001,0.0046,6.2815,6.2971,0.0425,0.2112,1.56,0.88
1,60,590,0.138,0.24,0.0001,0.0038,6.1948,6.2853,0.0865,0.1905,0.0,0.89
1,70,590,0.139,0.225,0.0001,0.0033,6.2885,6.2774,0.0769,0.1732,0.0,0.87
1,80,590,0.139,0.215,0.0001,0.0029,6.3109,6.2748,0.0767,0.1597,0.0,0.84
1,90,590,0.139,0.206,0.0001,0.0026,6.2043,6.2697,0.0926,0.1516,0.0,0.83
1,100,590,0.144,0.2,0.0001,0.0024,6.1758,6.2623,0.1149,0.1437,1.56,0.77
1,110,590,0.14,0.194,0.0001,0.0022,6.1573,6.26,0.0684,0.1363,4.69,0.82
1,120,590,0.14,0.19,0.0001,0.002,6.2395,6.2563,0.0787,0.1305,0.0,0.83
1,130,590,0.14,0.186,0.0001,0.0018,6.2411,6.2556,0.028,0.1238,1.56,0.82
1,140,590,0.149,0.183,0.0001,0.0017,6.2297,6.2521,0.0752,0.1183,1.56,0.78
1,150,590,0.14,0.18,0.0001,0.0016,6.252,6.2493,0.0567,0.114,0.0,0.77
1,160,590,0.141,0.178,0.0001,0.0015,6.1758,6.2498,0.0481,0.1106,0.0,0.79
1,170,590,0.141,0.175,0.0002,0.0014,6.267,6.2496,0.0452,0.1077,0.0,0.79
1,180,590,0.141,0.174,0.0001,0.0014,6.1916,6.2453,0.0476,0.1046,1.56,0.8
1,190,590,0.141,0.172,0.0001,0.0013,6.1691,6.2429,0.0711,0.102,0.0,0.8
